97864752,7000301,493071
603106,221709,110091
611047,215054,133203
648450,226856,129468
629244,231442,48831
606245,231107,27942
742413,237678,153336
626606,279324,56358
1021799,276831,153330
724354,186791,160317
529938,167381,202026
413370,125420,121383
447602,172550,107196
335561,174895,313785
252549,159451,173565
286264,180611,142827
292874,104805,71019
243252,100036,26415
317805,162286,143157
315098,239565,155352
593922,223386,419934
455768,199188,89094
213209,112988,110520
352281,220264,25962
450013,209956,177123
360910,218990,142830
592393,129104,23550
282229,119926,142149
358641,121105,157491
533009,130078,92691
372956,229236,135678
399261,288017,147843
338233,219043,118599
293782,335870,163425
662471,319899,159633
537531,248659,193794
817339,158394,191661
352893,137579,70818
327964,237668,105546
562577,232887,135285
790887,241857,121749
511111,211637,120732
3023223,540839,42114
193048,145203,77871
194441,132266,78948
206098,135301,15279
293099,164054,95346
182645,205516,112977
325700,217074,26403
188279,164536,91233
198152,139753,97863
237803,287590,25368
525609,529420,61758
340953,466031,117024
270145,173321,19014
236645,156325,25524
181421,154115,98508
222484,374462,129285
263261,258486,86742
253274,162521,49344
7366763,320727,136401
321091,248364,119952
276675,238743,114813
279795,275076,176232
298005,248346,114783
332571,259138,58227
420091,241255,114801
296006,1231800,150075
394374,264917,169551
398046,270801,134514
339355,330934,155865
387086,288321,1492092
346183,364516,35055
380246,328979,26406
423364,303893,160914
3458404,502514,64341
461208,351548,207075
450211,337907,213837
434514,351371,153780
402828,347950,39165
