------------------------------------------------------------
Server listening on UDP port 65525
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 65525 connected with 10.0.0.10 port 47609
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 56.0000-57.0000 sec   950 KBytes  7.79 Mbits/sec   0.160 ms 677/1339 (51%)
[  1] 57.0000-58.0000 sec   949 KBytes  7.77 Mbits/sec   0.040 ms 675/1336 (51%)
[  1] 58.0000-59.0000 sec   949 KBytes  7.77 Mbits/sec   0.082 ms 676/1337 (51%)
[  1] 59.0000-60.0000 sec   950 KBytes  7.79 Mbits/sec   0.054 ms 677/1339 (51%)
[  1] 59.0000-60.0000 sec  1 datagrams received out-of-order
[  1] 60.0000-61.0000 sec   949 KBytes  7.77 Mbits/sec   0.060 ms 676/1337 (51%)
[  1] 61.0000-62.0000 sec   949 KBytes  7.77 Mbits/sec   0.030 ms 675/1336 (51%)
[  1] 62.0000-63.0000 sec   950 KBytes  7.79 Mbits/sec   0.025 ms 677/1339 (51%)
[  1] 63.0000-64.0000 sec   949 KBytes  7.77 Mbits/sec   0.039 ms 676/1337 (51%)
[  1] 64.0000-65.0000 sec   949 KBytes  7.77 Mbits/sec   0.065 ms 676/1337 (51%)
[  1] 65.0000-66.0000 sec   950 KBytes  7.79 Mbits/sec   0.021 ms 676/1338 (51%)
[  1] 66.0000-67.0000 sec   949 KBytes  7.77 Mbits/sec   0.056 ms 676/1337 (51%)
[  1] 67.0000-68.0000 sec   950 KBytes  7.79 Mbits/sec   0.119 ms 677/1339 (51%)
[  1] 68.0000-69.0000 sec   949 KBytes  7.77 Mbits/sec   0.031 ms 675/1336 (51%)
[  1] 69.0000-70.0000 sec   949 KBytes  7.77 Mbits/sec   0.025 ms 676/1337 (51%)
[  1] 70.0000-71.0000 sec   950 KBytes  7.79 Mbits/sec   0.043 ms 677/1339 (51%)
[  1] 71.0000-72.0000 sec   949 KBytes  7.77 Mbits/sec   0.131 ms 676/1337 (51%)
