------------------------------------------------------------
Server listening on TCP port 48639
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.6 port 48639 connected with 10.0.0.11 port 42634
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  8.22 MBytes  68.9 Mbits/sec
[  1] 1.0000-2.0000 sec  9.33 MBytes  78.3 Mbits/sec
[  1] 2.0000-3.0000 sec  8.63 MBytes  72.4 Mbits/sec
[  1] 3.0000-4.0000 sec  9.18 MBytes  77.0 Mbits/sec
[  1] 4.0000-5.0000 sec  9.35 MBytes  78.5 Mbits/sec
[  1] 5.0000-6.0000 sec  9.20 MBytes  77.2 Mbits/sec
[  1] 6.0000-7.0000 sec  9.35 MBytes  78.4 Mbits/sec
[  1] 7.0000-8.0000 sec  9.05 MBytes  75.9 Mbits/sec
[  1] 8.0000-9.0000 sec  9.29 MBytes  78.0 Mbits/sec
[  1] 9.0000-10.0000 sec  9.20 MBytes  77.1 Mbits/sec
[  1] 10.0000-11.0000 sec  9.16 MBytes  76.9 Mbits/sec
[  1] 11.0000-12.0000 sec  9.34 MBytes  78.4 Mbits/sec
[  1] 12.0000-13.0000 sec  9.01 MBytes  75.6 Mbits/sec
[  1] 13.0000-14.0000 sec  9.07 MBytes  76.1 Mbits/sec
[  1] 14.0000-15.0000 sec  9.06 MBytes  76.0 Mbits/sec
[  1] 15.0000-16.0000 sec  9.12 MBytes  76.5 Mbits/sec
[  1] 16.0000-17.0000 sec  9.34 MBytes  78.3 Mbits/sec
[  1] 17.0000-18.0000 sec  8.31 MBytes  69.7 Mbits/sec
[  1] 18.0000-19.0000 sec  8.85 MBytes  74.2 Mbits/sec
[  1] 19.0000-20.0000 sec  9.02 MBytes  75.6 Mbits/sec
[  1] 20.0000-21.0000 sec  8.29 MBytes  69.5 Mbits/sec
[  1] 21.0000-22.0000 sec  8.84 MBytes  74.2 Mbits/sec
[  1] 22.0000-23.0000 sec  8.98 MBytes  75.4 Mbits/sec
[  1] 23.0000-24.0000 sec  9.27 MBytes  77.8 Mbits/sec
[  1] 24.0000-25.0000 sec  9.35 MBytes  78.5 Mbits/sec
[  1] 25.0000-26.0000 sec  9.17 MBytes  76.9 Mbits/sec
[  1] 26.0000-27.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  1] 27.0000-28.0000 sec  8.67 MBytes  72.7 Mbits/sec
[  1] 28.0000-29.0000 sec  8.58 MBytes  72.0 Mbits/sec
[  1] 29.0000-30.0000 sec  9.06 MBytes  76.0 Mbits/sec
[  1] 30.0000-31.0000 sec  9.12 MBytes  76.5 Mbits/sec
[  1] 31.0000-32.0000 sec  8.05 MBytes  67.5 Mbits/sec
[  1] 32.0000-33.0000 sec  8.86 MBytes  74.3 Mbits/sec
[  1] 33.0000-34.0000 sec  9.02 MBytes  75.6 Mbits/sec
[  1] 34.0000-35.0000 sec  8.66 MBytes  72.6 Mbits/sec
[  1] 35.0000-36.0000 sec  8.49 MBytes  71.2 Mbits/sec
[  1] 36.0000-37.0000 sec  8.41 MBytes  70.6 Mbits/sec
[  1] 37.0000-38.0000 sec  9.13 MBytes  76.5 Mbits/sec
[  1] 38.0000-39.0000 sec  9.35 MBytes  78.4 Mbits/sec
[  1] 39.0000-40.0000 sec  8.81 MBytes  73.9 Mbits/sec
[  1] 40.0000-41.0000 sec  8.86 MBytes  74.3 Mbits/sec
[  1] 41.0000-42.0000 sec  8.58 MBytes  72.0 Mbits/sec
[  1] 42.0000-43.0000 sec  9.01 MBytes  75.6 Mbits/sec
[  1] 43.0000-44.0000 sec  9.16 MBytes  76.9 Mbits/sec
[  1] 44.0000-45.0000 sec  7.96 MBytes  66.8 Mbits/sec
[  1] 45.0000-46.0000 sec  8.19 MBytes  68.7 Mbits/sec
[  1] 46.0000-47.0000 sec  7.92 MBytes  66.5 Mbits/sec
[  1] 47.0000-48.0000 sec  8.69 MBytes  72.9 Mbits/sec
[  1] 48.0000-49.0000 sec  8.35 MBytes  70.1 Mbits/sec
[  1] 49.0000-50.0000 sec  7.85 MBytes  65.8 Mbits/sec
[  1] 50.0000-51.0000 sec  7.54 MBytes  63.3 Mbits/sec
[  1] 51.0000-52.0000 sec  8.10 MBytes  67.9 Mbits/sec
[  1] 52.0000-53.0000 sec  8.17 MBytes  68.5 Mbits/sec
[  1] 53.0000-54.0000 sec  8.33 MBytes  69.9 Mbits/sec
[  1] 54.0000-55.0000 sec  8.42 MBytes  70.6 Mbits/sec
[  1] 55.0000-56.0000 sec  8.10 MBytes  67.9 Mbits/sec
[  1] 56.0000-57.0000 sec  7.74 MBytes  64.9 Mbits/sec
[  1] 57.0000-58.0000 sec  7.48 MBytes  62.7 Mbits/sec
[  1] 58.0000-59.0000 sec  8.08 MBytes  67.8 Mbits/sec
[  1] 59.0000-60.0000 sec  8.39 MBytes  70.4 Mbits/sec
[  1] 60.0000-61.0000 sec  8.55 MBytes  71.7 Mbits/sec
[  1] 61.0000-62.0000 sec  8.42 MBytes  70.6 Mbits/sec
[  1] 62.0000-63.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 63.0000-64.0000 sec  7.31 MBytes  61.3 Mbits/sec
[  1] 64.0000-65.0000 sec  7.88 MBytes  66.1 Mbits/sec
[  1] 65.0000-66.0000 sec  7.85 MBytes  65.9 Mbits/sec
[  1] 66.0000-67.0000 sec  7.46 MBytes  62.6 Mbits/sec
[  1] 67.0000-68.0000 sec  8.19 MBytes  68.7 Mbits/sec
[  1] 68.0000-69.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  1] 69.0000-70.0000 sec  7.73 MBytes  64.9 Mbits/sec
[  1] 70.0000-71.0000 sec  6.80 MBytes  57.0 Mbits/sec
[  1] 71.0000-72.0000 sec  7.71 MBytes  64.6 Mbits/sec
[  1] 72.0000-73.0000 sec  7.29 MBytes  61.1 Mbits/sec
[  1] 73.0000-74.0000 sec  7.73 MBytes  64.8 Mbits/sec
[  1] 74.0000-75.0000 sec  7.04 MBytes  59.1 Mbits/sec
[  1] 75.0000-76.0000 sec  7.84 MBytes  65.7 Mbits/sec
[  1] 76.0000-77.0000 sec  7.56 MBytes  63.4 Mbits/sec
[  1] 77.0000-78.0000 sec  7.25 MBytes  60.8 Mbits/sec
[  1] 78.0000-79.0000 sec  8.18 MBytes  68.6 Mbits/sec
[  1] 79.0000-80.0000 sec  8.10 MBytes  68.0 Mbits/sec
[  1] 80.0000-81.0000 sec  8.16 MBytes  68.4 Mbits/sec
[  1] 81.0000-82.0000 sec  8.14 MBytes  68.3 Mbits/sec
[  1] 82.0000-83.0000 sec  7.36 MBytes  61.8 Mbits/sec
[  1] 83.0000-84.0000 sec  7.88 MBytes  66.1 Mbits/sec
[  1] 84.0000-85.0000 sec  7.50 MBytes  62.9 Mbits/sec
[  1] 85.0000-86.0000 sec  7.57 MBytes  63.5 Mbits/sec
[  1] 86.0000-87.0000 sec  8.28 MBytes  69.4 Mbits/sec
[  1] 87.0000-88.0000 sec  7.89 MBytes  66.2 Mbits/sec
[  1] 88.0000-89.0000 sec  6.82 MBytes  57.2 Mbits/sec
[  1] 89.0000-90.0000 sec  7.39 MBytes  62.0 Mbits/sec
[  1] 90.0000-91.0000 sec  7.48 MBytes  62.7 Mbits/sec
[  1] 91.0000-92.0000 sec  8.68 MBytes  72.8 Mbits/sec
[  1] 92.0000-93.0000 sec  7.35 MBytes  61.7 Mbits/sec
[  1] 93.0000-94.0000 sec  6.86 MBytes  57.5 Mbits/sec
[  1] 94.0000-95.0000 sec  7.95 MBytes  66.7 Mbits/sec
[  1] 95.0000-96.0000 sec  8.18 MBytes  68.7 Mbits/sec
[  1] 96.0000-97.0000 sec  7.76 MBytes  65.1 Mbits/sec
[  1] 97.0000-98.0000 sec  7.98 MBytes  66.9 Mbits/sec
