------------------------------------------------------------
Server listening on UDP port 23953
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.7 port 23953 connected with 10.0.0.10 port 40992
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.0000-1.0000 sec  73.2 KBytes   600 Kbits/sec   0.740 ms 1/52 (1.9%)
[  1] 1.0000-2.0000 sec  73.2 KBytes   600 Kbits/sec   0.836 ms 0/51 (0%)
[  1] 2.0000-3.0000 sec  71.8 KBytes   588 Kbits/sec   0.749 ms 0/50 (0%)
[  1] 3.0000-4.0000 sec  74.6 KBytes   612 Kbits/sec   0.815 ms 0/52 (0%)
[  1] 4.0000-5.0000 sec  71.8 KBytes   588 Kbits/sec   0.498 ms 0/50 (0%)
[  1] 5.0000-6.0000 sec  68.9 KBytes   564 Kbits/sec   1.038 ms 0/48 (0%)
[  1] 6.0000-7.0000 sec  73.2 KBytes   600 Kbits/sec   0.536 ms 0/51 (0%)
[  1] 7.0000-8.0000 sec  73.2 KBytes   600 Kbits/sec   0.589 ms 0/51 (0%)
[  1] 8.0000-9.0000 sec  71.8 KBytes   588 Kbits/sec   0.696 ms 0/50 (0%)
[  1] 9.0000-10.0000 sec  73.2 KBytes   600 Kbits/sec   1.024 ms 0/51 (0%)
[  1] 10.0000-11.0000 sec  71.8 KBytes   588 Kbits/sec   0.809 ms 0/50 (0%)
[  1] 11.0000-12.0000 sec  71.8 KBytes   588 Kbits/sec   0.556 ms 0/50 (0%)
[  1] 12.0000-13.0000 sec  73.2 KBytes   600 Kbits/sec   0.663 ms 0/51 (0%)
[  1] 13.0000-14.0000 sec  73.2 KBytes   600 Kbits/sec   0.466 ms 0/51 (0%)
[  1] 14.0000-15.0000 sec  71.8 KBytes   588 Kbits/sec   0.931 ms 0/50 (0%)
[  1] 15.0000-16.0000 sec  68.9 KBytes   564 Kbits/sec   1.105 ms 0/48 (0%)
[  1] 16.0000-17.0000 sec  73.2 KBytes   600 Kbits/sec   0.741 ms 0/51 (0%)
[  1] 17.0000-18.0000 sec  71.8 KBytes   588 Kbits/sec   0.783 ms 0/50 (0%)
[  1] 18.0000-19.0000 sec  73.2 KBytes   600 Kbits/sec   0.857 ms 0/51 (0%)
[  1] 19.0000-20.0000 sec  73.2 KBytes   600 Kbits/sec   1.001 ms 0/51 (0%)
[  1] 20.0000-21.0000 sec  70.3 KBytes   576 Kbits/sec   0.887 ms 0/49 (0%)
[  1] 21.0000-22.0000 sec  73.2 KBytes   600 Kbits/sec   1.514 ms 0/51 (0%)
[  1] 22.0000-23.0000 sec  71.8 KBytes   588 Kbits/sec   0.972 ms 1/51 (2%)
[  1] 23.0000-24.0000 sec  73.2 KBytes   600 Kbits/sec   1.006 ms 0/51 (0%)
[  1] 24.0000-25.0000 sec  71.8 KBytes   588 Kbits/sec   0.835 ms 0/50 (0%)
[  1] 25.0000-26.0000 sec  70.3 KBytes   576 Kbits/sec   0.645 ms 0/49 (0%)
[  1] 26.0000-27.0000 sec  73.2 KBytes   600 Kbits/sec   1.456 ms 0/51 (0%)
[  1] 27.0000-28.0000 sec  73.2 KBytes   600 Kbits/sec   0.932 ms 0/51 (0%)
[  1] 28.0000-29.0000 sec  73.2 KBytes   600 Kbits/sec   0.871 ms 0/51 (0%)
[  1] 29.0000-30.0000 sec  73.2 KBytes   600 Kbits/sec   0.625 ms 0/51 (0%)
[  1] 30.0000-31.0000 sec  70.3 KBytes   576 Kbits/sec   0.722 ms 0/49 (0%)
[  1] 31.0000-32.0000 sec  71.8 KBytes   588 Kbits/sec   0.534 ms 0/50 (0%)
[  1] 32.0000-33.0000 sec  74.6 KBytes   612 Kbits/sec   0.601 ms 0/52 (0%)
[  1] 33.0000-34.0000 sec  70.3 KBytes   576 Kbits/sec   0.782 ms 0/49 (0%)
[  1] 34.0000-35.0000 sec  73.2 KBytes   600 Kbits/sec   1.016 ms 0/51 (0%)
[  1] 35.0000-36.0000 sec  70.3 KBytes   576 Kbits/sec   0.804 ms 0/49 (0%)
[  1] 36.0000-37.0000 sec  73.2 KBytes   600 Kbits/sec   0.756 ms 0/51 (0%)
[  1] 37.0000-38.0000 sec  73.2 KBytes   600 Kbits/sec   0.746 ms 0/51 (0%)
