------------------------------------------------------------
Server listening on TCP port 48253
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.3 port 48253 connected with 10.0.0.13 port 59854
[ ID] Interval       Transfer     Bandwidth
[  1] 80.0000-81.0000 sec   810 KBytes  6.64 Mbits/sec
[  1] 81.0000-82.0000 sec   479 KBytes  3.93 Mbits/sec
[  1] 82.0000-83.0000 sec   720 KBytes  5.90 Mbits/sec
[  1] 83.0000-84.0000 sec   897 KBytes  7.34 Mbits/sec
[  1] 84.0000-85.0000 sec   714 KBytes  5.85 Mbits/sec
[  1] 85.0000-86.0000 sec   659 KBytes  5.40 Mbits/sec
[  1] 86.0000-87.0000 sec   670 KBytes  5.49 Mbits/sec
[  1] 87.0000-88.0000 sec   870 KBytes  7.12 Mbits/sec
[  1] 88.0000-89.0000 sec   732 KBytes  6.00 Mbits/sec
[  1] 89.0000-90.0000 sec   728 KBytes  5.97 Mbits/sec
[  1] 90.0000-91.0000 sec   916 KBytes  7.51 Mbits/sec
[  1] 91.0000-92.0000 sec   535 KBytes  4.38 Mbits/sec
[  1] 92.0000-93.0000 sec   908 KBytes  7.44 Mbits/sec
[  1] 93.0000-94.0000 sec   721 KBytes  5.91 Mbits/sec
[  1] 94.0000-95.0000 sec   665 KBytes  5.44 Mbits/sec
[  1] 95.0000-96.0000 sec   749 KBytes  6.14 Mbits/sec
[  1] 96.0000-97.0000 sec   891 KBytes  7.30 Mbits/sec
[  1] 97.0000-98.0000 sec   724 KBytes  5.93 Mbits/sec
[  1] 98.0000-99.0000 sec   800 KBytes  6.56 Mbits/sec
[  1] 99.0000-100.0000 sec   700 KBytes  5.73 Mbits/sec
[  1] 100.0000-101.0000 sec   908 KBytes  7.44 Mbits/sec
[  1] 101.0000-102.0000 sec   913 KBytes  7.48 Mbits/sec
[  1] 102.0000-103.0000 sec   831 KBytes  6.81 Mbits/sec
[  1] 103.0000-104.0000 sec  1022 KBytes  8.38 Mbits/sec
[  1] 104.0000-105.0000 sec   885 KBytes  7.25 Mbits/sec
[  1] 105.0000-106.0000 sec   653 KBytes  5.35 Mbits/sec
[  1] 106.0000-107.0000 sec   952 KBytes  7.80 Mbits/sec
[  1] 107.0000-108.0000 sec   894 KBytes  7.32 Mbits/sec
[  1] 108.0000-109.0000 sec   800 KBytes  6.56 Mbits/sec
[  1] 109.0000-110.0000 sec   800 KBytes  6.56 Mbits/sec
[  1] 110.0000-111.0000 sec   943 KBytes  7.73 Mbits/sec
[  1] 111.0000-112.0000 sec  1.04 MBytes  8.71 Mbits/sec
[  1] 112.0000-113.0000 sec   911 KBytes  7.46 Mbits/sec
[  1] 113.0000-114.0000 sec   762 KBytes  6.24 Mbits/sec
[  1] 114.0000-115.0000 sec   933 KBytes  7.65 Mbits/sec
[  1] 115.0000-116.0000 sec   642 KBytes  5.26 Mbits/sec
[  1] 116.0000-117.0000 sec   813 KBytes  6.66 Mbits/sec
[  1] 117.0000-118.0000 sec   672 KBytes  5.50 Mbits/sec
[  1] 118.0000-119.0000 sec   766 KBytes  6.28 Mbits/sec
[  1] 119.0000-120.0000 sec   905 KBytes  7.41 Mbits/sec
[  1] 120.0000-121.0000 sec   819 KBytes  6.71 Mbits/sec
[  1] 121.0000-122.0000 sec   877 KBytes  7.18 Mbits/sec
[  1] 122.0000-123.0000 sec   600 KBytes  4.91 Mbits/sec
[  1] 123.0000-124.0000 sec   823 KBytes  6.74 Mbits/sec
[  1] 124.0000-125.0000 sec   971 KBytes  7.96 Mbits/sec
[  1] 125.0000-126.0000 sec   584 KBytes  4.78 Mbits/sec
[  1] 126.0000-127.0000 sec   960 KBytes  7.87 Mbits/sec
[  1] 127.0000-128.0000 sec   776 KBytes  6.36 Mbits/sec
[  1] 128.0000-129.0000 sec   757 KBytes  6.20 Mbits/sec
[  1] 129.0000-130.0000 sec   686 KBytes  5.62 Mbits/sec
[  1] 130.0000-131.0000 sec   921 KBytes  7.54 Mbits/sec
[  1] 131.0000-132.0000 sec   686 KBytes  5.62 Mbits/sec
[  1] 132.0000-133.0000 sec   936 KBytes  7.67 Mbits/sec
[  1] 133.0000-134.0000 sec   860 KBytes  7.04 Mbits/sec
[  1] 134.0000-135.0000 sec   713 KBytes  5.84 Mbits/sec
[  1] 135.0000-136.0000 sec  1000 KBytes  8.19 Mbits/sec
[  1] 136.0000-137.0000 sec   971 KBytes  7.96 Mbits/sec
[  1] 137.0000-138.0000 sec   601 KBytes  4.92 Mbits/sec
[  1] 138.0000-139.0000 sec   966 KBytes  7.91 Mbits/sec
[  1] 139.0000-140.0000 sec   782 KBytes  6.41 Mbits/sec
[  1] 140.0000-141.0000 sec   700 KBytes  5.73 Mbits/sec
[  1] 141.0000-142.0000 sec   665 KBytes  5.44 Mbits/sec
[  1] 142.0000-143.0000 sec   902 KBytes  7.39 Mbits/sec
[  1] 143.0000-144.0000 sec  1011 KBytes  8.28 Mbits/sec
[  1] 144.0000-145.0000 sec   970 KBytes  7.95 Mbits/sec
[  1] 145.0000-146.0000 sec   940 KBytes  7.70 Mbits/sec
[  1] 146.0000-147.0000 sec   807 KBytes  6.61 Mbits/sec
[  1] 147.0000-148.0000 sec   830 KBytes  6.80 Mbits/sec
[  1] 148.0000-149.0000 sec   615 KBytes  5.04 Mbits/sec
[  1] 149.0000-150.0000 sec   996 KBytes  8.16 Mbits/sec
[  1] 150.0000-151.0000 sec   836 KBytes  6.85 Mbits/sec
[  1] 151.0000-152.0000 sec  1.08 MBytes  9.04 Mbits/sec
[  1] 152.0000-153.0000 sec  1.02 MBytes  8.54 Mbits/sec
[  1] 153.0000-154.0000 sec   779 KBytes  6.38 Mbits/sec
[  1] 154.0000-155.0000 sec   564 KBytes  4.62 Mbits/sec
[  1] 155.0000-156.0000 sec   652 KBytes  5.34 Mbits/sec
[  1] 156.0000-157.0000 sec   827 KBytes  6.78 Mbits/sec
[  1] 157.0000-158.0000 sec   673 KBytes  5.51 Mbits/sec
[  1] 0.0000-158.2344 sec   207 MBytes  11.0 Mbits/sec
