------------------------------------------------------------
Server listening on TCP port 7280
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.3 port 7280 connected with 10.0.0.4 port 45036
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  1.60 MBytes  13.4 Mbits/sec
[  1] 1.0000-2.0000 sec  1.54 MBytes  13.0 Mbits/sec
[  1] 2.0000-3.0000 sec  1.36 MBytes  11.4 Mbits/sec
[  1] 3.0000-4.0000 sec  1.12 MBytes  9.43 Mbits/sec
[  1] 4.0000-5.0000 sec  1.26 MBytes  10.5 Mbits/sec
[  1] 5.0000-6.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  1] 6.0000-7.0000 sec  1.22 MBytes  10.3 Mbits/sec
[  1] 7.0000-8.0000 sec  1.21 MBytes  10.1 Mbits/sec
[  1] 8.0000-9.0000 sec  1.44 MBytes  12.1 Mbits/sec
[  1] 9.0000-10.0000 sec  1.10 MBytes  9.26 Mbits/sec
[  1] 10.0000-11.0000 sec  1.33 MBytes  11.2 Mbits/sec
[  1] 11.0000-12.0000 sec  1.14 MBytes  9.57 Mbits/sec
[  1] 12.0000-13.0000 sec  1.28 MBytes  10.7 Mbits/sec
[  1] 13.0000-14.0000 sec  1.20 MBytes  10.1 Mbits/sec
[  1] 14.0000-15.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  1] 15.0000-16.0000 sec  1.20 MBytes  10.1 Mbits/sec
[  1] 16.0000-17.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  1] 17.0000-18.0000 sec  1.26 MBytes  10.6 Mbits/sec
[  1] 18.0000-19.0000 sec  1.78 MBytes  14.9 Mbits/sec
[  1] 19.0000-20.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  1] 20.0000-21.0000 sec  1.22 MBytes  10.2 Mbits/sec
[  1] 21.0000-22.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  1] 22.0000-23.0000 sec  1.48 MBytes  12.4 Mbits/sec
[  1] 23.0000-24.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  1] 24.0000-25.0000 sec  1.27 MBytes  10.7 Mbits/sec
[  1] 25.0000-26.0000 sec  1.39 MBytes  11.7 Mbits/sec
[  1] 26.0000-27.0000 sec  1.29 MBytes  10.8 Mbits/sec
[  1] 27.0000-28.0000 sec  1.18 MBytes  9.87 Mbits/sec
[  1] 28.0000-29.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 29.0000-30.0000 sec  1.26 MBytes  10.6 Mbits/sec
[  1] 30.0000-31.0000 sec  1.41 MBytes  11.8 Mbits/sec
[  1] 31.0000-32.0000 sec  1.40 MBytes  11.7 Mbits/sec
[  1] 32.0000-33.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  1] 33.0000-34.0000 sec  1.19 MBytes  9.96 Mbits/sec
[  1] 34.0000-35.0000 sec  1.33 MBytes  11.2 Mbits/sec
[  1] 35.0000-36.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  1] 36.0000-37.0000 sec  1.35 MBytes  11.3 Mbits/sec
[  1] 37.0000-38.0000 sec  1.21 MBytes  10.2 Mbits/sec
[  1] 38.0000-39.0000 sec  1.07 MBytes  8.98 Mbits/sec
[  1] 39.0000-40.0000 sec  1.29 MBytes  10.9 Mbits/sec
[  1] 40.0000-41.0000 sec  1.08 MBytes  9.04 Mbits/sec
[  1] 41.0000-42.0000 sec  1.29 MBytes  10.8 Mbits/sec
[  1] 42.0000-43.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  1] 43.0000-44.0000 sec  1.17 MBytes  9.81 Mbits/sec
[  1] 44.0000-45.0000 sec  1.22 MBytes  10.2 Mbits/sec
[  1] 45.0000-46.0000 sec  1.28 MBytes  10.7 Mbits/sec
[  1] 46.0000-47.0000 sec  1.28 MBytes  10.8 Mbits/sec
[  1] 47.0000-48.0000 sec  1.04 MBytes  8.71 Mbits/sec
[  1] 48.0000-49.0000 sec  1.06 MBytes  8.86 Mbits/sec
[  1] 49.0000-50.0000 sec  1.22 MBytes  10.3 Mbits/sec
[  1] 50.0000-51.0000 sec  1.19 MBytes  9.96 Mbits/sec
[  1] 51.0000-52.0000 sec  1.17 MBytes  9.78 Mbits/sec
