------------------------------------------------------------
Server listening on TCP port 8622
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.5 port 8622 connected with 10.0.0.4 port 43596
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  8.20 MBytes  68.8 Mbits/sec
[  1] 1.0000-2.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 2.0000-3.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 3.0000-4.0000 sec  8.20 MBytes  68.8 Mbits/sec
[  1] 4.0000-5.0000 sec  8.22 MBytes  68.9 Mbits/sec
[  1] 5.0000-6.0000 sec  8.20 MBytes  68.8 Mbits/sec
[  1] 6.0000-7.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 7.0000-8.0000 sec  8.20 MBytes  68.8 Mbits/sec
[  1] 8.0000-9.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 9.0000-10.0000 sec  8.17 MBytes  68.5 Mbits/sec
[  1] 10.0000-11.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 11.0000-12.0000 sec  8.21 MBytes  68.8 Mbits/sec
[  1] 12.0000-13.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 13.0000-14.0000 sec  8.20 MBytes  68.8 Mbits/sec
[  1] 14.0000-15.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 15.0000-16.0000 sec  8.20 MBytes  68.8 Mbits/sec
[  1] 16.0000-17.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 17.0000-18.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 18.0000-19.0000 sec  8.19 MBytes  68.7 Mbits/sec
[  1] 19.0000-20.0000 sec  8.23 MBytes  69.0 Mbits/sec
[  1] 20.0000-21.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 21.0000-22.0000 sec  8.21 MBytes  68.8 Mbits/sec
[  1] 22.0000-23.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 23.0000-24.0000 sec  8.20 MBytes  68.8 Mbits/sec
[  1] 24.0000-25.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 25.0000-26.0000 sec  8.20 MBytes  68.8 Mbits/sec
[  1] 26.0000-27.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 27.0000-28.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 28.0000-29.0000 sec  8.20 MBytes  68.8 Mbits/sec
[  1] 29.0000-30.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 30.0000-31.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 31.0000-32.0000 sec  8.17 MBytes  68.5 Mbits/sec
[  1] 32.0000-33.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 33.0000-34.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  1] 34.0000-35.0000 sec  8.16 MBytes  68.5 Mbits/sec
[  1] 35.0000-36.0000 sec  8.21 MBytes  68.9 Mbits/sec
