------------------------------------------------------------
Server listening on TCP port 31609
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.12 port 31609 connected with 10.0.0.11 port 49780 (icwnd/mss/irtt=14/1448/324033)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec   376 KBytes  3.08 Mbits/sec
[  1] 1.0000-2.0000 sec   361 KBytes  2.95 Mbits/sec
[  1] 2.0000-3.0000 sec   272 KBytes  2.22 Mbits/sec
[  1] 3.0000-4.0000 sec   455 KBytes  3.73 Mbits/sec
[  1] 4.0000-5.0000 sec   720 KBytes  5.90 Mbits/sec
[  1] 5.0000-6.0000 sec   434 KBytes  3.56 Mbits/sec
[  1] 6.0000-7.0000 sec   191 KBytes  1.56 Mbits/sec
[  1] 7.0000-8.0000 sec   642 KBytes  5.26 Mbits/sec
[  1] 8.0000-9.0000 sec   113 KBytes   927 Kbits/sec
[  1] 9.0000-10.0000 sec   255 KBytes  2.09 Mbits/sec
[  1] 10.0000-11.0000 sec   191 KBytes  1.56 Mbits/sec
[  1] 11.0000-12.0000 sec   328 KBytes  2.69 Mbits/sec
[  1] 12.0000-13.0000 sec   226 KBytes  1.85 Mbits/sec
[  1] 13.0000-14.0000 sec  39.6 KBytes   324 Kbits/sec
[  1] 14.0000-15.0000 sec   311 KBytes  2.55 Mbits/sec
[  1] 15.0000-16.0000 sec   281 KBytes  2.31 Mbits/sec
[  1] 16.0000-17.0000 sec   113 KBytes   927 Kbits/sec
[  1] 17.0000-18.0000 sec   247 KBytes  2.03 Mbits/sec
[  1] 18.0000-19.0000 sec   287 KBytes  2.35 Mbits/sec
[  1] 19.0000-20.0000 sec   535 KBytes  4.38 Mbits/sec
[  1] 20.0000-21.0000 sec   622 KBytes  5.10 Mbits/sec
[  1] 21.0000-22.0000 sec   351 KBytes  2.87 Mbits/sec
[  1] 22.0000-23.0000 sec   314 KBytes  2.57 Mbits/sec
[  1] 23.0000-24.0000 sec   561 KBytes  4.60 Mbits/sec
[  1] 24.0000-25.0000 sec   245 KBytes  2.00 Mbits/sec
[  1] 25.0000-26.0000 sec   147 KBytes  1.20 Mbits/sec
[  1] 26.0000-27.0000 sec   189 KBytes  1.55 Mbits/sec
[  1] 27.0000-28.0000 sec   301 KBytes  2.47 Mbits/sec
[  1] 28.0000-29.0000 sec   177 KBytes  1.45 Mbits/sec
[  1] 29.0000-30.0000 sec   264 KBytes  2.17 Mbits/sec
[  1] 30.0000-31.0000 sec   260 KBytes  2.13 Mbits/sec
[  1] 31.0000-32.0000 sec   219 KBytes  1.80 Mbits/sec
[  1] 32.0000-33.0000 sec   249 KBytes  2.04 Mbits/sec
[  1] 33.0000-34.0000 sec   286 KBytes  2.34 Mbits/sec
[  1] 34.0000-35.0000 sec   675 KBytes  5.53 Mbits/sec
[  1] 35.0000-36.0000 sec   300 KBytes  2.46 Mbits/sec
[  1] 36.0000-37.0000 sec   436 KBytes  3.57 Mbits/sec
[  1] 37.0000-38.0000 sec   624 KBytes  5.11 Mbits/sec
[  1] 38.0000-39.0000 sec   263 KBytes  2.15 Mbits/sec
[  1] 39.0000-40.0000 sec   293 KBytes  2.40 Mbits/sec
[  1] 40.0000-41.0000 sec   550 KBytes  4.51 Mbits/sec
[  1] 41.0000-42.0000 sec   245 KBytes  2.00 Mbits/sec
[  1] 42.0000-43.0000 sec   469 KBytes  3.85 Mbits/sec
[  1] 43.0000-44.0000 sec   106 KBytes   869 Kbits/sec
[  1] 44.0000-45.0000 sec   150 KBytes  1.23 Mbits/sec
[  1] 45.0000-46.0000 sec   322 KBytes  2.64 Mbits/sec
[  1] 46.0000-47.0000 sec   260 KBytes  2.13 Mbits/sec
[  1] 47.0000-48.0000 sec   242 KBytes  1.98 Mbits/sec
[  1] 48.0000-49.0000 sec  53.7 KBytes   440 Kbits/sec
[  1] 49.0000-50.0000 sec   141 KBytes  1.16 Mbits/sec
[  1] 50.0000-51.0000 sec   233 KBytes  1.91 Mbits/sec
[  1] 51.0000-52.0000 sec   226 KBytes  1.85 Mbits/sec
[  1] 52.0000-53.0000 sec   103 KBytes   846 Kbits/sec
[  1] 53.0000-54.0000 sec   474 KBytes  3.88 Mbits/sec
[  1] 54.0000-55.0000 sec   366 KBytes  3.00 Mbits/sec
[  1] 55.0000-56.0000 sec   421 KBytes  3.45 Mbits/sec
[  1] 56.0000-57.0000 sec   526 KBytes  4.31 Mbits/sec
[  1] 57.0000-58.0000 sec   283 KBytes  2.32 Mbits/sec
[  1] 58.0000-59.0000 sec   100 KBytes   822 Kbits/sec
[  1] 59.0000-60.0000 sec   263 KBytes  2.15 Mbits/sec
[  1] 60.0000-61.0000 sec  96.2 KBytes   788 Kbits/sec
[  1] 61.0000-62.0000 sec   110 KBytes   904 Kbits/sec
[  1] 62.0000-63.0000 sec   195 KBytes  1.60 Mbits/sec
[  1] 63.0000-64.0000 sec  49.5 KBytes   405 Kbits/sec
[  1] 64.0000-65.0000 sec   119 KBytes   973 Kbits/sec
[  1] 65.0000-66.0000 sec   395 KBytes  3.23 Mbits/sec
[  1] 66.0000-67.0000 sec   273 KBytes  2.24 Mbits/sec
[  1] 67.0000-68.0000 sec   437 KBytes  3.58 Mbits/sec
[  1] 68.0000-69.0000 sec   130 KBytes  1.07 Mbits/sec
[  1] 69.0000-70.0000 sec   150 KBytes  1.23 Mbits/sec
[  1] 70.0000-71.0000 sec  70.7 KBytes   579 Kbits/sec
[  1] 71.0000-72.0000 sec   122 KBytes   996 Kbits/sec
[  1] 72.0000-73.0000 sec   139 KBytes  1.14 Mbits/sec
[  1] 73.0000-74.0000 sec   112 KBytes   915 Kbits/sec
[  1] 74.0000-75.0000 sec   266 KBytes  2.18 Mbits/sec
[  1] 75.0000-76.0000 sec  58.0 KBytes   475 Kbits/sec
[  1] 76.0000-77.0000 sec   106 KBytes   869 Kbits/sec
[  1] 77.0000-78.0000 sec   205 KBytes  1.68 Mbits/sec
[  1] 78.0000-79.0000 sec   346 KBytes  2.84 Mbits/sec
[  1] 79.0000-80.0000 sec   411 KBytes  3.37 Mbits/sec
[  1] 80.0000-81.0000 sec  86.3 KBytes   707 Kbits/sec
[  1] 81.0000-82.0000 sec  15.6 KBytes   127 Kbits/sec
[  1] 82.0000-83.0000 sec   508 KBytes  4.16 Mbits/sec
[  1] 83.0000-84.0000 sec   590 KBytes  4.83 Mbits/sec
[  1] 84.0000-85.0000 sec   233 KBytes  1.91 Mbits/sec
[  1] 85.0000-86.0000 sec   195 KBytes  1.60 Mbits/sec
[  1] 86.0000-87.0000 sec   375 KBytes  3.07 Mbits/sec
[  1] 87.0000-88.0000 sec   420 KBytes  3.44 Mbits/sec
[  1] 88.0000-89.0000 sec   246 KBytes  2.02 Mbits/sec
[  1] 89.0000-90.0000 sec   198 KBytes  1.62 Mbits/sec
[  1] 90.0000-91.0000 sec   263 KBytes  2.15 Mbits/sec
[  1] 91.0000-92.0000 sec   223 KBytes  1.83 Mbits/sec
[  1] 92.0000-93.0000 sec   117 KBytes   961 Kbits/sec
[  1] 93.0000-94.0000 sec   279 KBytes  2.28 Mbits/sec
[  1] 94.0000-95.0000 sec   344 KBytes  2.81 Mbits/sec
[  1] 95.0000-96.0000 sec   458 KBytes  3.75 Mbits/sec
[  1] 96.0000-97.0000 sec   164 KBytes  1.34 Mbits/sec
[  1] 97.0000-98.0000 sec   491 KBytes  4.02 Mbits/sec
[  1] 98.0000-99.0000 sec   120 KBytes   985 Kbits/sec
[  1] 99.0000-100.0000 sec   211 KBytes  1.73 Mbits/sec
[  1] 100.0000-101.0000 sec   124 KBytes  1.02 Mbits/sec
[  1] 101.0000-102.0000 sec   321 KBytes  2.63 Mbits/sec
[  1] 102.0000-103.0000 sec  12.7 KBytes   104 Kbits/sec
[  1] 103.0000-104.0000 sec  63.6 KBytes   521 Kbits/sec
[  1] 104.0000-105.0000 sec  86.3 KBytes   707 Kbits/sec
[  1] 105.0000-106.0000 sec  93.3 KBytes   765 Kbits/sec
[  1] 106.0000-107.0000 sec   240 KBytes  1.97 Mbits/sec
[  1] 107.0000-108.0000 sec   428 KBytes  3.51 Mbits/sec
[  1] 108.0000-109.0000 sec   587 KBytes  4.81 Mbits/sec
[  1] 109.0000-110.0000 sec   547 KBytes  4.48 Mbits/sec
[  1] 110.0000-111.0000 sec   314 KBytes  2.57 Mbits/sec
[  1] 111.0000-112.0000 sec   300 KBytes  2.46 Mbits/sec
[  1] 112.0000-113.0000 sec   430 KBytes  3.52 Mbits/sec
[  1] 113.0000-114.0000 sec   474 KBytes  3.88 Mbits/sec
[  1] 114.0000-115.0000 sec   417 KBytes  3.42 Mbits/sec
[  1] 115.0000-116.0000 sec   440 KBytes  3.60 Mbits/sec
[  1] 116.0000-117.0000 sec   287 KBytes  2.35 Mbits/sec
[  1] 117.0000-118.0000 sec   236 KBytes  1.93 Mbits/sec
[  1] 118.0000-119.0000 sec   191 KBytes  1.56 Mbits/sec
[  1] 119.0000-120.0000 sec  58.0 KBytes   475 Kbits/sec
[  1] 120.0000-121.0000 sec  55.1 KBytes   452 Kbits/sec
[  1] 121.0000-122.0000 sec  22.6 KBytes   185 Kbits/sec
[  1] 122.0000-123.0000 sec   266 KBytes  2.18 Mbits/sec
[  1] 123.0000-124.0000 sec   334 KBytes  2.73 Mbits/sec
[  1] 124.0000-125.0000 sec   245 KBytes  2.00 Mbits/sec
[  1] 125.0000-126.0000 sec   240 KBytes  1.97 Mbits/sec
[  1] 126.0000-127.0000 sec   192 KBytes  1.58 Mbits/sec
[  1] 127.0000-128.0000 sec   208 KBytes  1.70 Mbits/sec
[  1] 128.0000-129.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 129.0000-130.0000 sec  60.8 KBytes   498 Kbits/sec
[  1] 130.0000-131.0000 sec  50.9 KBytes   417 Kbits/sec
[  1] 131.0000-132.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 132.0000-133.0000 sec  56.6 KBytes   463 Kbits/sec
[  1] 133.0000-134.0000 sec   139 KBytes  1.14 Mbits/sec
[  1] 134.0000-135.0000 sec   116 KBytes   950 Kbits/sec
[  1] 135.0000-136.0000 sec   279 KBytes  2.28 Mbits/sec
[  1] 136.0000-137.0000 sec   355 KBytes  2.91 Mbits/sec
[  1] 137.0000-138.0000 sec   280 KBytes  2.29 Mbits/sec
[  1] 138.0000-139.0000 sec   242 KBytes  1.98 Mbits/sec
[  1] 139.0000-140.0000 sec   249 KBytes  2.04 Mbits/sec
[  1] 140.0000-141.0000 sec   263 KBytes  2.15 Mbits/sec
[  1] 141.0000-142.0000 sec   354 KBytes  2.90 Mbits/sec
[  1] 142.0000-143.0000 sec   276 KBytes  2.26 Mbits/sec
[  1] 143.0000-144.0000 sec   117 KBytes   961 Kbits/sec
[  1] 144.0000-145.0000 sec   188 KBytes  1.54 Mbits/sec
[  1] 145.0000-146.0000 sec  89.1 KBytes   730 Kbits/sec
[  1] 146.0000-147.0000 sec  48.1 KBytes   394 Kbits/sec
