------------------------------------------------------------
Server listening on TCP port 36114
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.10 port 36114 connected with 10.0.0.1 port 39656
[ ID] Interval       Transfer     Bandwidth
[  1] 83.0000-84.0000 sec   233 KBytes  1.91 Mbits/sec
[  1] 84.0000-85.0000 sec   904 KBytes  7.40 Mbits/sec
[  1] 85.0000-86.0000 sec   556 KBytes  4.55 Mbits/sec
[  1] 86.0000-87.0000 sec   522 KBytes  4.27 Mbits/sec
[  1] 87.0000-88.0000 sec   359 KBytes  2.94 Mbits/sec
[  1] 88.0000-89.0000 sec   810 KBytes  6.64 Mbits/sec
[  1] 89.0000-90.0000 sec   477 KBytes  3.90 Mbits/sec
[  1] 90.0000-91.0000 sec   223 KBytes  1.83 Mbits/sec
[  1] 91.0000-92.0000 sec   527 KBytes  4.32 Mbits/sec
[  1] 92.0000-93.0000 sec   635 KBytes  5.20 Mbits/sec
[  1] 93.0000-94.0000 sec   646 KBytes  5.29 Mbits/sec
[  1] 94.0000-95.0000 sec   328 KBytes  2.69 Mbits/sec
[  1] 95.0000-96.0000 sec   359 KBytes  2.94 Mbits/sec
[  1] 96.0000-97.0000 sec   253 KBytes  2.07 Mbits/sec
[  1] 97.0000-98.0000 sec   407 KBytes  3.34 Mbits/sec
[  1] 98.0000-99.0000 sec   127 KBytes  1.04 Mbits/sec
[  1] 99.0000-100.0000 sec   513 KBytes  4.20 Mbits/sec
[  1] 100.0000-101.0000 sec  1020 KBytes  8.35 Mbits/sec
[  1] 101.0000-102.0000 sec   245 KBytes  2.00 Mbits/sec
[  1] 102.0000-103.0000 sec  62.2 KBytes   510 Kbits/sec
[  1] 103.0000-104.0000 sec  1.41 KBytes  11.6 Kbits/sec
[  1] 104.0000-105.0000 sec   194 KBytes  1.59 Mbits/sec
[  1] 105.0000-106.0000 sec  4.24 KBytes  34.8 Kbits/sec
[  1] 106.0000-107.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 107.0000-108.0000 sec  79.2 KBytes   649 Kbits/sec
[  1] 108.0000-109.0000 sec   553 KBytes  4.53 Mbits/sec
[  1] 109.0000-110.0000 sec  84.8 KBytes   695 Kbits/sec
[  1] 110.0000-111.0000 sec   568 KBytes  4.66 Mbits/sec
[  1] 111.0000-112.0000 sec  1.22 MBytes  10.3 Mbits/sec
[  1] 112.0000-113.0000 sec   645 KBytes  5.28 Mbits/sec
[  1] 113.0000-114.0000 sec   906 KBytes  7.43 Mbits/sec
[  1] 114.0000-115.0000 sec   253 KBytes  2.07 Mbits/sec
[  1] 115.0000-116.0000 sec  1.00 MBytes  8.42 Mbits/sec
[  1] 116.0000-117.0000 sec   458 KBytes  3.75 Mbits/sec
[  1] 117.0000-118.0000 sec   870 KBytes  7.12 Mbits/sec
[  1] 118.0000-119.0000 sec   744 KBytes  6.09 Mbits/sec
[  1] 119.0000-120.0000 sec  1.04 MBytes  8.75 Mbits/sec
[  1] 120.0000-121.0000 sec   291 KBytes  2.39 Mbits/sec
[  1] 121.0000-122.0000 sec  1.02 MBytes  8.58 Mbits/sec
[  1] 122.0000-123.0000 sec   380 KBytes  3.12 Mbits/sec
[  1] 123.0000-124.0000 sec   506 KBytes  4.15 Mbits/sec
[  1] 124.0000-125.0000 sec   544 KBytes  4.46 Mbits/sec
[  1] 125.0000-126.0000 sec   414 KBytes  3.39 Mbits/sec
[  1] 126.0000-127.0000 sec   331 KBytes  2.71 Mbits/sec
[  1] 127.0000-128.0000 sec   754 KBytes  6.17 Mbits/sec
[  1] 128.0000-129.0000 sec  1.85 MBytes  15.5 Mbits/sec
[  1] 129.0000-130.0000 sec  2.01 MBytes  16.9 Mbits/sec
[  1] 130.0000-131.0000 sec  1.70 MBytes  14.3 Mbits/sec
[  1] 131.0000-132.0000 sec  1.91 MBytes  16.0 Mbits/sec
[  1] 132.0000-133.0000 sec  1.89 MBytes  15.8 Mbits/sec
[  1] 133.0000-134.0000 sec  1.94 MBytes  16.3 Mbits/sec
[  1] 134.0000-135.0000 sec  2.16 MBytes  18.2 Mbits/sec
[  1] 135.0000-136.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 136.0000-137.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 137.0000-138.0000 sec  2.16 MBytes  18.2 Mbits/sec
[  1] 138.0000-139.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 139.0000-140.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 140.0000-141.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 141.0000-142.0000 sec  2.15 MBytes  18.0 Mbits/sec
[  1] 142.0000-143.0000 sec  2.18 MBytes  18.3 Mbits/sec
[  1] 143.0000-144.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 144.0000-145.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 145.0000-146.0000 sec  2.16 MBytes  18.2 Mbits/sec
[  1] 146.0000-147.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 147.0000-148.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 148.0000-149.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 149.0000-150.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 150.0000-151.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 151.0000-152.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 152.0000-153.0000 sec  2.16 MBytes  18.2 Mbits/sec
[  1] 153.0000-154.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 154.0000-155.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 155.0000-156.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 156.0000-157.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 157.0000-157.3017 sec   181 KBytes  4.90 Mbits/sec
[  1] 0.0000-157.3017 sec   118 MBytes  6.29 Mbits/sec
