------------------------------------------------------------
Server listening on TCP port 2094
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.10 port 2094 connected with 10.0.0.2 port 58380
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec   947 KBytes  7.76 Mbits/sec
[  1] 1.0000-2.0000 sec   871 KBytes  7.14 Mbits/sec
[  1] 2.0000-3.0000 sec   718 KBytes  5.88 Mbits/sec
[  1] 3.0000-4.0000 sec   417 KBytes  3.42 Mbits/sec
[  1] 4.0000-5.0000 sec   928 KBytes  7.60 Mbits/sec
[  1] 5.0000-6.0000 sec   976 KBytes  7.99 Mbits/sec
[  1] 6.0000-7.0000 sec  1.18 MBytes  9.93 Mbits/sec
[  1] 7.0000-8.0000 sec   465 KBytes  3.81 Mbits/sec
[  1] 8.0000-9.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 9.0000-10.0000 sec   501 KBytes  4.10 Mbits/sec
[  1] 10.0000-11.0000 sec  56.6 KBytes   463 Kbits/sec
[  1] 11.0000-12.0000 sec   578 KBytes  4.74 Mbits/sec
[  1] 12.0000-13.0000 sec  84.8 KBytes   695 Kbits/sec
[  1] 13.0000-14.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 14.0000-15.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 15.0000-16.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 16.0000-17.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 17.0000-18.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 18.0000-19.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 19.0000-20.0000 sec  1.16 MBytes  9.73 Mbits/sec
[  1] 20.0000-21.0000 sec  1.66 MBytes  13.9 Mbits/sec
[  1] 21.0000-22.0000 sec   554 KBytes  4.54 Mbits/sec
[  1] 22.0000-23.0000 sec   313 KBytes  2.56 Mbits/sec
[  1] 23.0000-24.0000 sec   273 KBytes  2.24 Mbits/sec
[  1] 24.0000-25.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  1] 25.0000-26.0000 sec  1.06 MBytes  8.90 Mbits/sec
[  1] 26.0000-27.0000 sec   226 KBytes  1.85 Mbits/sec
[  1] 27.0000-28.0000 sec   650 KBytes  5.33 Mbits/sec
[  1] 28.0000-29.0000 sec  53.7 KBytes   440 Kbits/sec
[  1] 29.0000-30.0000 sec   861 KBytes  7.05 Mbits/sec
[  1] 30.0000-31.0000 sec   851 KBytes  6.97 Mbits/sec
