------------------------------------------------------------
Server listening on UDP port 22760
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 22760 connected with 10.0.0.4 port 55799
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 53.0000-54.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.099 ms 16087/17822 (90%)
[  1] 54.0000-55.0000 sec  2.44 MBytes  20.4 Mbits/sec   0.082 ms 16105/17842 (90%)
[  1] 55.0000-56.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.089 ms 16098/17834 (90%)
[  1] 56.0000-57.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.122 ms 16096/17832 (90%)
[  1] 57.0000-58.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.077 ms 16093/17829 (90%)
[  1] 58.0000-59.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.124 ms 16098/17834 (90%)
[  1] 59.0000-60.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.082 ms 16094/17830 (90%)
[  1] 60.0000-61.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.081 ms 16097/17833 (90%)
[  1] 61.0000-62.0000 sec  2.44 MBytes  20.4 Mbits/sec   0.092 ms 16106/17843 (90%)
[  1] 62.0000-63.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.099 ms 16096/17832 (90%)
[  1] 63.0000-64.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.078 ms 16095/17831 (90%)
[  1] 63.0000-64.0000 sec  1 datagrams received out-of-order
[  1] 64.0000-65.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.076 ms 16097/17833 (90%)
[  1] 65.0000-66.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.127 ms 16096/17832 (90%)
[  1] 66.0000-67.0000 sec  2.43 MBytes  20.4 Mbits/sec   0.079 ms 16095/17831 (90%)
