------------------------------------------------------------
Server listening on TCP port 50793
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.8 port 50793 connected with 10.0.0.6 port 51694 (icwnd/mss/irtt=14/1448/41000)
[ ID] Interval       Transfer     Bandwidth
[  1] 82.0000-83.0000 sec   315 KBytes  2.58 Mbits/sec
[  1] 83.0000-84.0000 sec   414 KBytes  3.39 Mbits/sec
[  1] 84.0000-85.0000 sec   400 KBytes  3.28 Mbits/sec
[  1] 85.0000-86.0000 sec   318 KBytes  2.61 Mbits/sec
[  1] 86.0000-87.0000 sec   386 KBytes  3.16 Mbits/sec
[  1] 87.0000-88.0000 sec   533 KBytes  4.37 Mbits/sec
[  1] 88.0000-89.0000 sec   690 KBytes  5.65 Mbits/sec
[  1] 89.0000-90.0000 sec   424 KBytes  3.48 Mbits/sec
[  1] 90.0000-91.0000 sec   293 KBytes  2.40 Mbits/sec
[  1] 91.0000-92.0000 sec   311 KBytes  2.55 Mbits/sec
[  1] 92.0000-93.0000 sec   208 KBytes  1.70 Mbits/sec
[  1] 93.0000-94.0000 sec   477 KBytes  3.90 Mbits/sec
[  1] 94.0000-95.0000 sec   469 KBytes  3.85 Mbits/sec
[  1] 95.0000-96.0000 sec   399 KBytes  3.27 Mbits/sec
[  1] 96.0000-97.0000 sec   604 KBytes  4.95 Mbits/sec
[  1] 97.0000-98.0000 sec   228 KBytes  1.87 Mbits/sec
[  1] 98.0000-99.0000 sec   267 KBytes  2.19 Mbits/sec
[  1] 99.0000-100.0000 sec   609 KBytes  4.99 Mbits/sec
[  1] 100.0000-101.0000 sec   380 KBytes  3.12 Mbits/sec
[  1] 101.0000-102.0000 sec   489 KBytes  4.01 Mbits/sec
[  1] 102.0000-103.0000 sec   450 KBytes  3.68 Mbits/sec
[  1] 103.0000-104.0000 sec   119 KBytes   973 Kbits/sec
[  1] 104.0000-105.0000 sec   417 KBytes  3.42 Mbits/sec
[  1] 105.0000-106.0000 sec   547 KBytes  4.48 Mbits/sec
[  1] 106.0000-107.0000 sec   404 KBytes  3.31 Mbits/sec
[  1] 107.0000-108.0000 sec   329 KBytes  2.70 Mbits/sec
[  1] 108.0000-109.0000 sec   315 KBytes  2.58 Mbits/sec
[  1] 109.0000-110.0000 sec   484 KBytes  3.96 Mbits/sec
[  1] 110.0000-111.0000 sec   300 KBytes  2.46 Mbits/sec
[  1] 111.0000-112.0000 sec   208 KBytes  1.70 Mbits/sec
[  1] 112.0000-113.0000 sec   235 KBytes  1.92 Mbits/sec
[  1] 113.0000-114.0000 sec   168 KBytes  1.38 Mbits/sec
[  1] 114.0000-115.0000 sec   481 KBytes  3.94 Mbits/sec
[  1] 115.0000-116.0000 sec   427 KBytes  3.50 Mbits/sec
[  1] 116.0000-117.0000 sec   245 KBytes  2.00 Mbits/sec
[  1] 117.0000-118.0000 sec   486 KBytes  3.98 Mbits/sec
[  1] 118.0000-119.0000 sec   441 KBytes  3.61 Mbits/sec
[  1] 119.0000-120.0000 sec   417 KBytes  3.42 Mbits/sec
[  1] 120.0000-121.0000 sec   696 KBytes  5.70 Mbits/sec
[  1] 121.0000-122.0000 sec   684 KBytes  5.61 Mbits/sec
[  1] 122.0000-123.0000 sec   611 KBytes  5.00 Mbits/sec
[  1] 123.0000-124.0000 sec   430 KBytes  3.52 Mbits/sec
[  1] 124.0000-125.0000 sec   375 KBytes  3.07 Mbits/sec
[  1] 125.0000-126.0000 sec   170 KBytes  1.39 Mbits/sec
[  1] 126.0000-127.0000 sec   288 KBytes  2.36 Mbits/sec
[  1] 127.0000-128.0000 sec   337 KBytes  2.76 Mbits/sec
[  1] 128.0000-129.0000 sec   313 KBytes  2.56 Mbits/sec
[  1] 129.0000-130.0000 sec   356 KBytes  2.92 Mbits/sec
[  1] 130.0000-131.0000 sec   133 KBytes  1.09 Mbits/sec
[  1] 131.0000-132.0000 sec   557 KBytes  4.56 Mbits/sec
[  1] 132.0000-133.0000 sec   458 KBytes  3.75 Mbits/sec
[  1] 133.0000-134.0000 sec   368 KBytes  3.01 Mbits/sec
[  1] 134.0000-135.0000 sec   286 KBytes  2.34 Mbits/sec
[  1] 135.0000-136.0000 sec   180 KBytes  1.47 Mbits/sec
[  1] 136.0000-137.0000 sec   701 KBytes  5.75 Mbits/sec
[  1] 137.0000-138.0000 sec   392 KBytes  3.21 Mbits/sec
[  1] 138.0000-139.0000 sec   450 KBytes  3.68 Mbits/sec
[  1] 139.0000-140.0000 sec   812 KBytes  6.65 Mbits/sec
[  1] 140.0000-141.0000 sec   402 KBytes  3.29 Mbits/sec
[  1] 141.0000-142.0000 sec   335 KBytes  2.75 Mbits/sec
[  1] 142.0000-143.0000 sec   313 KBytes  2.56 Mbits/sec
[  1] 143.0000-144.0000 sec   458 KBytes  3.75 Mbits/sec
[  1] 144.0000-145.0000 sec   509 KBytes  4.17 Mbits/sec
[  1] 145.0000-146.0000 sec   315 KBytes  2.58 Mbits/sec
[  1] 146.0000-147.0000 sec   361 KBytes  2.95 Mbits/sec
[  1] 147.0000-148.0000 sec   515 KBytes  4.22 Mbits/sec
[  1] 148.0000-149.0000 sec   486 KBytes  3.98 Mbits/sec
[  1] 149.0000-150.0000 sec   543 KBytes  4.45 Mbits/sec
[  1] 150.0000-151.0000 sec   557 KBytes  4.56 Mbits/sec
[  1] 151.0000-152.0000 sec   105 KBytes   857 Kbits/sec
[  1] 152.0000-153.0000 sec   327 KBytes  2.68 Mbits/sec
[  1] 153.0000-154.0000 sec   348 KBytes  2.85 Mbits/sec
[  1] 154.0000-155.0000 sec   270 KBytes  2.21 Mbits/sec
[  1] 155.0000-156.0000 sec   335 KBytes  2.75 Mbits/sec
[  1] 156.0000-157.0000 sec  93.3 KBytes   765 Kbits/sec
[  1] 157.0000-158.0000 sec   515 KBytes  4.22 Mbits/sec
[  1] 158.0000-159.0000 sec   165 KBytes  1.36 Mbits/sec
[  1] 159.0000-160.0000 sec   205 KBytes  1.68 Mbits/sec
[  1] 160.0000-161.0000 sec   612 KBytes  5.02 Mbits/sec
[  1] 161.0000-162.0000 sec   257 KBytes  2.11 Mbits/sec
[  1] 162.0000-163.0000 sec   648 KBytes  5.31 Mbits/sec
[  1] 163.0000-164.0000 sec   361 KBytes  2.95 Mbits/sec
[  1] 164.0000-165.0000 sec   437 KBytes  3.58 Mbits/sec
[  1] 165.0000-166.0000 sec   211 KBytes  1.73 Mbits/sec
[  1] 166.0000-167.0000 sec   233 KBytes  1.91 Mbits/sec
[  1] 167.0000-168.0000 sec   225 KBytes  1.84 Mbits/sec
[  1] 168.0000-169.0000 sec   472 KBytes  3.87 Mbits/sec
[  1] 169.0000-170.0000 sec   447 KBytes  3.66 Mbits/sec
[  1] 170.0000-171.0000 sec   369 KBytes  3.02 Mbits/sec
[  1] 171.0000-172.0000 sec   235 KBytes  1.92 Mbits/sec
[  1] 172.0000-173.0000 sec   322 KBytes  2.64 Mbits/sec
[  1] 173.0000-174.0000 sec   403 KBytes  3.30 Mbits/sec
[  1] 174.0000-175.0000 sec   382 KBytes  3.13 Mbits/sec
[  1] 175.0000-176.0000 sec   247 KBytes  2.03 Mbits/sec
[  1] 176.0000-177.0000 sec   212 KBytes  1.74 Mbits/sec
[  1] 177.0000-178.0000 sec  52.3 KBytes   429 Kbits/sec
