------------------------------------------------------------
Server listening on UDP port 28992
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.10 port 28992 connected with 10.0.0.2 port 45413
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.0000-1.0000 sec  57.4 KBytes   470 Kbits/sec   0.271 ms 25/65 (38%)
[  1] 1.0000-2.0000 sec  44.5 KBytes   365 Kbits/sec   0.141 ms 30/61 (49%)
[  1] 2.0000-3.0000 sec  50.2 KBytes   412 Kbits/sec   0.256 ms 26/61 (43%)
[  1] 3.0000-4.0000 sec  60.3 KBytes   494 Kbits/sec   0.682 ms 19/61 (31%)
[  1] 4.0000-5.0000 sec  61.7 KBytes   506 Kbits/sec   1.009 ms 18/61 (30%)
[  1] 5.0000-6.0000 sec  68.9 KBytes   564 Kbits/sec   0.457 ms 13/61 (21%)
[  1] 6.0000-7.0000 sec  61.7 KBytes   506 Kbits/sec   0.609 ms 18/61 (30%)
[  1] 7.0000-8.0000 sec  70.3 KBytes   576 Kbits/sec   0.628 ms 12/61 (20%)
[  1] 8.0000-9.0000 sec  58.9 KBytes   482 Kbits/sec   0.597 ms 20/61 (33%)
[  1] 9.0000-10.0000 sec  63.2 KBytes   517 Kbits/sec   0.648 ms 17/61 (28%)
[  1] 10.0000-11.0000 sec  58.9 KBytes   482 Kbits/sec   0.736 ms 20/61 (33%)
[  1] 11.0000-12.0000 sec  67.5 KBytes   553 Kbits/sec   0.620 ms 14/61 (23%)
[  1] 12.0000-13.0000 sec  70.3 KBytes   576 Kbits/sec   0.586 ms 12/61 (20%)
[  1] 13.0000-14.0000 sec  58.9 KBytes   482 Kbits/sec   0.833 ms 19/60 (32%)
[  1] 14.0000-15.0000 sec  73.2 KBytes   600 Kbits/sec   1.208 ms 11/62 (18%)
[  1] 15.0000-16.0000 sec  61.7 KBytes   506 Kbits/sec   0.828 ms 18/61 (30%)
[  1] 16.0000-17.0000 sec  60.3 KBytes   494 Kbits/sec   1.071 ms 18/60 (30%)
[  1] 17.0000-18.0000 sec  70.3 KBytes   576 Kbits/sec   0.790 ms 13/62 (21%)
[  1] 18.0000-19.0000 sec  57.4 KBytes   470 Kbits/sec   0.573 ms 21/61 (34%)
[  1] 19.0000-20.0000 sec  67.5 KBytes   553 Kbits/sec   0.931 ms 13/60 (22%)
[  1] 20.0000-21.0000 sec  66.0 KBytes   541 Kbits/sec   0.650 ms 15/61 (25%)
[  1] 21.0000-22.0000 sec  60.3 KBytes   494 Kbits/sec   0.953 ms 19/61 (31%)
[  1] 22.0000-23.0000 sec  50.2 KBytes   412 Kbits/sec   0.622 ms 26/61 (43%)
[  1] 23.0000-24.0000 sec  57.4 KBytes   470 Kbits/sec   0.478 ms 20/60 (33%)
[  1] 24.0000-25.0000 sec  74.6 KBytes   612 Kbits/sec   0.840 ms 10/62 (16%)
[  1] 25.0000-26.0000 sec  57.4 KBytes   470 Kbits/sec   0.555 ms 21/61 (34%)
[  1] 26.0000-27.0000 sec  68.9 KBytes   564 Kbits/sec   0.723 ms 13/61 (21%)
[  1] 27.0000-28.0000 sec  57.4 KBytes   470 Kbits/sec   0.617 ms 21/61 (34%)
[  1] 28.0000-29.0000 sec  54.6 KBytes   447 Kbits/sec   1.239 ms 23/61 (38%)
[  1] 29.0000-30.0000 sec  54.6 KBytes   447 Kbits/sec   1.423 ms 23/61 (38%)
[  1] 30.0000-31.0000 sec  54.6 KBytes   447 Kbits/sec   1.355 ms 23/61 (38%)
[  1] 31.0000-32.0000 sec  58.9 KBytes   482 Kbits/sec   1.001 ms 18/59 (31%)
[  1] 32.0000-33.0000 sec  71.8 KBytes   588 Kbits/sec   1.298 ms 12/62 (19%)
[  1] 33.0000-34.0000 sec  54.6 KBytes   447 Kbits/sec   0.794 ms 24/62 (39%)
[  1] 34.0000-35.0000 sec  70.3 KBytes   576 Kbits/sec   1.368 ms 12/61 (20%)
[  1] 35.0000-36.0000 sec  61.7 KBytes   506 Kbits/sec   0.399 ms 18/61 (30%)
[  1] 36.0000-37.0000 sec  58.9 KBytes   482 Kbits/sec   0.664 ms 20/61 (33%)
[  1] 37.0000-38.0000 sec  84.7 KBytes   694 Kbits/sec   0.588 ms 2/61 (3.3%)
[  1] 38.0000-39.0000 sec  54.6 KBytes   447 Kbits/sec   0.783 ms 22/60 (37%)
