------------------------------------------------------------
Server listening on TCP port 40722
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.6 port 40722 connected with 10.0.0.10 port 39406
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  1.60 MBytes  13.4 Mbits/sec
[  1] 1.0000-2.0000 sec  2.60 MBytes  21.8 Mbits/sec
[  1] 2.0000-3.0000 sec  2.08 MBytes  17.4 Mbits/sec
[  1] 3.0000-4.0000 sec  2.70 MBytes  22.6 Mbits/sec
[  1] 4.0000-5.0000 sec  1.32 MBytes  11.1 Mbits/sec
[  1] 5.0000-6.0000 sec   553 KBytes  4.53 Mbits/sec
[  1] 6.0000-7.0000 sec   175 KBytes  1.44 Mbits/sec
[  1] 7.0000-8.0000 sec   195 KBytes  1.60 Mbits/sec
[  1] 8.0000-9.0000 sec   318 KBytes  2.61 Mbits/sec
[  1] 9.0000-10.0000 sec   696 KBytes  5.70 Mbits/sec
[  1] 10.0000-11.0000 sec   413 KBytes  3.38 Mbits/sec
[  1] 11.0000-12.0000 sec   830 KBytes  6.80 Mbits/sec
[  1] 12.0000-13.0000 sec  24.0 KBytes   197 Kbits/sec
[  1] 13.0000-14.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 14.0000-15.0000 sec   370 KBytes  3.04 Mbits/sec
[  1] 15.0000-16.0000 sec  1.54 MBytes  12.9 Mbits/sec
[  1] 16.0000-17.0000 sec  1.00 MBytes  8.40 Mbits/sec
[  1] 17.0000-18.0000 sec   591 KBytes  4.84 Mbits/sec
[  1] 18.0000-19.0000 sec  1.77 MBytes  14.8 Mbits/sec
[  1] 19.0000-20.0000 sec  1.17 MBytes  9.81 Mbits/sec
[  1] 20.0000-21.0000 sec   561 KBytes  4.60 Mbits/sec
[  1] 21.0000-22.0000 sec  4.24 KBytes  34.8 Kbits/sec
[  1] 22.0000-23.0000 sec  4.24 KBytes  34.8 Kbits/sec
[  1] 23.0000-24.0000 sec  33.9 KBytes   278 Kbits/sec
[  1] 24.0000-25.0000 sec   235 KBytes  1.92 Mbits/sec
[  1] 25.0000-26.0000 sec  97.6 KBytes   799 Kbits/sec
[  1] 26.0000-27.0000 sec   475 KBytes  3.89 Mbits/sec
[  1] 27.0000-28.0000 sec   144 KBytes  1.18 Mbits/sec
[  1] 28.0000-29.0000 sec  53.7 KBytes   440 Kbits/sec
[  1] 29.0000-30.0000 sec  1.50 MBytes  12.6 Mbits/sec
[  1] 30.0000-31.0000 sec   290 KBytes  2.37 Mbits/sec
[  1] 31.0000-32.0000 sec   481 KBytes  3.94 Mbits/sec
[  1] 32.0000-33.0000 sec  2.28 MBytes  19.1 Mbits/sec
[  1] 33.0000-34.0000 sec  97.6 KBytes   799 Kbits/sec
[  1] 34.0000-35.0000 sec  91.9 KBytes   753 Kbits/sec
[  1] 35.0000-36.0000 sec   962 KBytes  7.88 Mbits/sec
[  1] 36.0000-37.0000 sec  1.72 MBytes  14.4 Mbits/sec
[  1] 37.0000-38.0000 sec   365 KBytes  2.99 Mbits/sec
[  1] 38.0000-39.0000 sec  1.06 MBytes  8.90 Mbits/sec
[  1] 39.0000-40.0000 sec   308 KBytes  2.53 Mbits/sec
[  1] 40.0000-41.0000 sec  49.5 KBytes   405 Kbits/sec
[  1] 41.0000-42.0000 sec   444 KBytes  3.64 Mbits/sec
[  1] 42.0000-43.0000 sec  1.03 MBytes  8.63 Mbits/sec
[  1] 43.0000-44.0000 sec  1.14 MBytes  9.60 Mbits/sec
[  1] 44.0000-45.0000 sec   758 KBytes  6.21 Mbits/sec
[  1] 45.0000-46.0000 sec  1.69 MBytes  14.2 Mbits/sec
[  1] 46.0000-47.0000 sec  2.65 MBytes  22.2 Mbits/sec
[  1] 47.0000-48.0000 sec  1.98 MBytes  16.6 Mbits/sec
[  1] 48.0000-49.0000 sec  2.34 MBytes  19.6 Mbits/sec
[  1] 49.0000-50.0000 sec  2.40 MBytes  20.1 Mbits/sec
[  1] 50.0000-51.0000 sec  2.66 MBytes  22.3 Mbits/sec
[  1] 51.0000-52.0000 sec  1.76 MBytes  14.7 Mbits/sec
[  1] 52.0000-53.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 53.0000-54.0000 sec  1.39 MBytes  11.7 Mbits/sec
[  1] 54.0000-55.0000 sec  2.57 MBytes  21.6 Mbits/sec
[  1] 55.0000-56.0000 sec  2.15 MBytes  18.0 Mbits/sec
[  1] 56.0000-57.0000 sec  2.35 MBytes  19.7 Mbits/sec
[  1] 57.0000-58.0000 sec  2.57 MBytes  21.6 Mbits/sec
[  1] 58.0000-59.0000 sec   687 KBytes  5.63 Mbits/sec
[  1] 59.0000-60.0000 sec  1.46 MBytes  12.3 Mbits/sec
[  1] 60.0000-61.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  1] 61.0000-62.0000 sec  2.21 MBytes  18.6 Mbits/sec
[  1] 0.0000-62.1151 sec  66.6 MBytes  9.00 Mbits/sec
