------------------------------------------------------------
Server listening on TCP port 58364
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.7 port 58364 connected with 10.0.0.4 port 46948 (icwnd/mss/irtt=14/1448/15415)
[ ID] Interval       Transfer     Bandwidth
[  1] 80.0000-81.0000 sec  1.33 MBytes  11.1 Mbits/sec
[  1] 81.0000-82.0000 sec   759 KBytes  6.22 Mbits/sec
[  1] 82.0000-83.0000 sec  1.09 MBytes  9.13 Mbits/sec
[  1] 83.0000-84.0000 sec  1.27 MBytes  10.6 Mbits/sec
[  1] 84.0000-85.0000 sec   762 KBytes  6.24 Mbits/sec
[  1] 85.0000-86.0000 sec  1.16 MBytes  9.77 Mbits/sec
[  1] 86.0000-87.0000 sec   912 KBytes  7.47 Mbits/sec
[  1] 87.0000-88.0000 sec   954 KBytes  7.82 Mbits/sec
[  1] 88.0000-89.0000 sec   778 KBytes  6.37 Mbits/sec
[  1] 89.0000-90.0000 sec   748 KBytes  6.13 Mbits/sec
[  1] 90.0000-91.0000 sec   738 KBytes  6.05 Mbits/sec
[  1] 91.0000-92.0000 sec   816 KBytes  6.68 Mbits/sec
[  1] 92.0000-93.0000 sec   601 KBytes  4.92 Mbits/sec
[  1] 93.0000-94.0000 sec  1.06 MBytes  8.90 Mbits/sec
[  1] 94.0000-95.0000 sec  1000 KBytes  8.19 Mbits/sec
[  1] 95.0000-96.0000 sec   677 KBytes  5.55 Mbits/sec
[  1] 96.0000-97.0000 sec   921 KBytes  7.54 Mbits/sec
[  1] 97.0000-98.0000 sec  1003 KBytes  8.21 Mbits/sec
[  1] 98.0000-99.0000 sec   738 KBytes  6.05 Mbits/sec
[  1] 99.0000-100.0000 sec   898 KBytes  7.36 Mbits/sec
[  1] 100.0000-101.0000 sec   737 KBytes  6.04 Mbits/sec
[  1] 101.0000-102.0000 sec   546 KBytes  4.47 Mbits/sec
[  1] 102.0000-103.0000 sec   899 KBytes  7.37 Mbits/sec
[  1] 103.0000-104.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  1] 104.0000-105.0000 sec  1.14 MBytes  9.57 Mbits/sec
[  1] 105.0000-106.0000 sec   778 KBytes  6.37 Mbits/sec
[  1] 106.0000-107.0000 sec   799 KBytes  6.54 Mbits/sec
[  1] 107.0000-108.0000 sec  1.02 MBytes  8.53 Mbits/sec
[  1] 108.0000-109.0000 sec   922 KBytes  7.55 Mbits/sec
[  1] 109.0000-110.0000 sec   735 KBytes  6.02 Mbits/sec
[  1] 110.0000-111.0000 sec   803 KBytes  6.58 Mbits/sec
[  1] 111.0000-112.0000 sec   672 KBytes  5.50 Mbits/sec
[  1] 112.0000-113.0000 sec   452 KBytes  3.71 Mbits/sec
[  1] 113.0000-114.0000 sec   962 KBytes  7.88 Mbits/sec
[  1] 114.0000-115.0000 sec   936 KBytes  7.67 Mbits/sec
[  1] 115.0000-116.0000 sec   841 KBytes  6.89 Mbits/sec
[  1] 116.0000-117.0000 sec   728 KBytes  5.97 Mbits/sec
[  1] 117.0000-118.0000 sec   909 KBytes  7.45 Mbits/sec
[  1] 118.0000-119.0000 sec   820 KBytes  6.72 Mbits/sec
[  1] 119.0000-120.0000 sec   996 KBytes  8.16 Mbits/sec
[  1] 120.0000-121.0000 sec   479 KBytes  3.93 Mbits/sec
[  1] 121.0000-122.0000 sec   758 KBytes  6.21 Mbits/sec
[  1] 122.0000-123.0000 sec  1.04 MBytes  8.70 Mbits/sec
[  1] 123.0000-124.0000 sec   643 KBytes  5.27 Mbits/sec
[  1] 124.0000-125.0000 sec   747 KBytes  6.12 Mbits/sec
[  1] 125.0000-126.0000 sec   860 KBytes  7.04 Mbits/sec
[  1] 126.0000-127.0000 sec   452 KBytes  3.71 Mbits/sec
[  1] 127.0000-128.0000 sec   731 KBytes  5.99 Mbits/sec
[  1] 128.0000-129.0000 sec  1.06 MBytes  8.88 Mbits/sec
[  1] 129.0000-130.0000 sec   909 KBytes  7.45 Mbits/sec
[  1] 130.0000-131.0000 sec   690 KBytes  5.65 Mbits/sec
[  1] 131.0000-132.0000 sec   795 KBytes  6.51 Mbits/sec
[  1] 132.0000-133.0000 sec   495 KBytes  4.05 Mbits/sec
[  1] 133.0000-134.0000 sec   735 KBytes  6.02 Mbits/sec
[  1] 134.0000-135.0000 sec   823 KBytes  6.74 Mbits/sec
[  1] 135.0000-136.0000 sec   527 KBytes  4.32 Mbits/sec
[  1] 136.0000-137.0000 sec   542 KBytes  4.44 Mbits/sec
[  1] 137.0000-138.0000 sec  1.25 MBytes  10.5 Mbits/sec
[  1] 138.0000-139.0000 sec   788 KBytes  6.45 Mbits/sec
[  1] 139.0000-140.0000 sec   861 KBytes  7.05 Mbits/sec
[  1] 140.0000-141.0000 sec   752 KBytes  6.16 Mbits/sec
[  1] 141.0000-142.0000 sec   806 KBytes  6.60 Mbits/sec
[  1] 142.0000-143.0000 sec   860 KBytes  7.04 Mbits/sec
[  1] 143.0000-144.0000 sec  1.10 MBytes  9.26 Mbits/sec
[  1] 144.0000-145.0000 sec   687 KBytes  5.63 Mbits/sec
[  1] 145.0000-146.0000 sec  1.12 MBytes  9.36 Mbits/sec
[  1] 146.0000-147.0000 sec   598 KBytes  4.90 Mbits/sec
[  1] 147.0000-148.0000 sec   556 KBytes  4.55 Mbits/sec
[  1] 148.0000-149.0000 sec   691 KBytes  5.66 Mbits/sec
[  1] 149.0000-150.0000 sec  1.05 MBytes  8.79 Mbits/sec
[  1] 150.0000-151.0000 sec   665 KBytes  5.44 Mbits/sec
[  1] 151.0000-152.0000 sec   451 KBytes  3.70 Mbits/sec
[  1] 152.0000-153.0000 sec   923 KBytes  7.56 Mbits/sec
[  1] 153.0000-154.0000 sec  1.36 MBytes  11.4 Mbits/sec
[  1] 154.0000-155.0000 sec  1.17 MBytes  9.82 Mbits/sec
[  1] 155.0000-156.0000 sec   831 KBytes  6.81 Mbits/sec
[  1] 156.0000-157.0000 sec   543 KBytes  4.45 Mbits/sec
[  1] 157.0000-158.0000 sec   662 KBytes  5.42 Mbits/sec
[  1] 158.0000-159.0000 sec   837 KBytes  6.86 Mbits/sec
[  1] 159.0000-160.0000 sec   861 KBytes  7.05 Mbits/sec
[  1] 160.0000-161.0000 sec   882 KBytes  7.23 Mbits/sec
[  1] 161.0000-162.0000 sec   697 KBytes  5.71 Mbits/sec
[  1] 162.0000-163.0000 sec   831 KBytes  6.81 Mbits/sec
[  1] 163.0000-164.0000 sec   663 KBytes  5.43 Mbits/sec
[  1] 164.0000-165.0000 sec   785 KBytes  6.43 Mbits/sec
[  1] 165.0000-166.0000 sec   846 KBytes  6.93 Mbits/sec
[  1] 166.0000-167.0000 sec   959 KBytes  7.85 Mbits/sec
[  1] 167.0000-168.0000 sec   641 KBytes  5.25 Mbits/sec
[  1] 168.0000-169.0000 sec   939 KBytes  7.69 Mbits/sec
[  1] 169.0000-170.0000 sec   560 KBytes  4.59 Mbits/sec
[  1] 170.0000-171.0000 sec   987 KBytes  8.09 Mbits/sec
[  1] 171.0000-172.0000 sec   741 KBytes  6.07 Mbits/sec
[  1] 172.0000-173.0000 sec   662 KBytes  5.42 Mbits/sec
[  1] 173.0000-174.0000 sec  1.17 MBytes  9.78 Mbits/sec
[  1] 174.0000-175.0000 sec  1.11 MBytes  9.33 Mbits/sec
[  1] 175.0000-176.0000 sec   761 KBytes  6.23 Mbits/sec
[  1] 176.0000-177.0000 sec   486 KBytes  3.98 Mbits/sec
[  1] 177.0000-178.0000 sec   567 KBytes  4.65 Mbits/sec
[  1] 178.0000-179.0000 sec   717 KBytes  5.87 Mbits/sec
[  1] 179.0000-180.0000 sec   727 KBytes  5.95 Mbits/sec
[  1] 180.0000-181.0000 sec   966 KBytes  7.91 Mbits/sec
[  1] 181.0000-182.0000 sec   694 KBytes  5.69 Mbits/sec
[  1] 182.0000-183.0000 sec   713 KBytes  5.84 Mbits/sec
[  1] 183.0000-184.0000 sec   986 KBytes  8.07 Mbits/sec
[  1] 184.0000-185.0000 sec   759 KBytes  6.22 Mbits/sec
[  1] 185.0000-186.0000 sec   673 KBytes  5.51 Mbits/sec
[  1] 186.0000-187.0000 sec   438 KBytes  3.59 Mbits/sec
[  1] 187.0000-188.0000 sec   950 KBytes  7.78 Mbits/sec
[  1] 188.0000-189.0000 sec   641 KBytes  5.25 Mbits/sec
[  1] 189.0000-190.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  1] 190.0000-191.0000 sec   871 KBytes  7.14 Mbits/sec
[  1] 191.0000-192.0000 sec   600 KBytes  4.91 Mbits/sec
[  1] 192.0000-193.0000 sec   501 KBytes  4.10 Mbits/sec
[  1] 193.0000-194.0000 sec   875 KBytes  7.17 Mbits/sec
[  1] 194.0000-195.0000 sec   749 KBytes  6.14 Mbits/sec
[  1] 195.0000-196.0000 sec   574 KBytes  4.70 Mbits/sec
[  1] 196.0000-197.0000 sec   634 KBytes  5.19 Mbits/sec
[  1] 197.0000-198.0000 sec   693 KBytes  5.68 Mbits/sec
[  1] 198.0000-199.0000 sec   626 KBytes  5.13 Mbits/sec
[  1] 199.0000-200.0000 sec  1.01 MBytes  8.49 Mbits/sec
[  1] 200.0000-201.0000 sec   771 KBytes  6.31 Mbits/sec
[  1] 201.0000-202.0000 sec   461 KBytes  3.78 Mbits/sec
[  1] 202.0000-203.0000 sec   906 KBytes  7.43 Mbits/sec
[  1] 203.0000-204.0000 sec  1.04 MBytes  8.71 Mbits/sec
[  1] 204.0000-205.0000 sec   814 KBytes  6.67 Mbits/sec
[  1] 205.0000-206.0000 sec   663 KBytes  5.43 Mbits/sec
[  1] 206.0000-207.0000 sec   527 KBytes  4.32 Mbits/sec
[  1] 207.0000-208.0000 sec   870 KBytes  7.12 Mbits/sec
[  1] 208.0000-209.0000 sec   655 KBytes  5.36 Mbits/sec
[  1] 209.0000-210.0000 sec   960 KBytes  7.87 Mbits/sec
[  1] 210.0000-211.0000 sec   720 KBytes  5.90 Mbits/sec
[  1] 211.0000-212.0000 sec   723 KBytes  5.92 Mbits/sec
[  1] 212.0000-213.0000 sec   622 KBytes  5.10 Mbits/sec
[  1] 213.0000-214.0000 sec   916 KBytes  7.51 Mbits/sec
[  1] 214.0000-215.0000 sec  1017 KBytes  8.33 Mbits/sec
[  1] 215.0000-216.0000 sec   806 KBytes  6.60 Mbits/sec
[  1] 216.0000-217.0000 sec   730 KBytes  5.98 Mbits/sec
[  1] 217.0000-218.0000 sec   443 KBytes  3.63 Mbits/sec
[  1] 218.0000-219.0000 sec   748 KBytes  6.13 Mbits/sec
[  1] 219.0000-220.0000 sec   901 KBytes  7.38 Mbits/sec
[  1] 220.0000-221.0000 sec   590 KBytes  4.83 Mbits/sec
[  1] 221.0000-222.0000 sec   706 KBytes  5.78 Mbits/sec
[  1] 222.0000-223.0000 sec   762 KBytes  6.24 Mbits/sec
[  1] 223.0000-224.0000 sec   417 KBytes  3.42 Mbits/sec
[  1] 224.0000-225.0000 sec   823 KBytes  6.74 Mbits/sec
[  1] 225.0000-226.0000 sec   520 KBytes  4.26 Mbits/sec
[  1] 226.0000-227.0000 sec   740 KBytes  6.06 Mbits/sec
[  1] 227.0000-228.0000 sec   547 KBytes  4.48 Mbits/sec
[  1] 228.0000-229.0000 sec   867 KBytes  7.10 Mbits/sec
[  1] 229.0000-230.0000 sec   962 KBytes  7.88 Mbits/sec
[  1] 230.0000-231.0000 sec   839 KBytes  6.87 Mbits/sec
[  1] 231.0000-232.0000 sec   615 KBytes  5.04 Mbits/sec
[  1] 232.0000-233.0000 sec   577 KBytes  4.73 Mbits/sec
[  1] 233.0000-234.0000 sec   660 KBytes  5.41 Mbits/sec
[  1] 234.0000-235.0000 sec   962 KBytes  7.88 Mbits/sec
[  1] 235.0000-236.0000 sec   762 KBytes  6.24 Mbits/sec
[  1] 236.0000-237.0000 sec   477 KBytes  3.90 Mbits/sec
[  1] 237.0000-238.0000 sec   509 KBytes  4.17 Mbits/sec
[  1] 238.0000-239.0000 sec   622 KBytes  5.10 Mbits/sec
[  1] 239.0000-240.0000 sec   901 KBytes  7.38 Mbits/sec
[  1] 240.0000-241.0000 sec   655 KBytes  5.36 Mbits/sec
[  1] 241.0000-242.0000 sec   535 KBytes  4.38 Mbits/sec
[  1] 242.0000-243.0000 sec   656 KBytes  5.37 Mbits/sec
[  1] 243.0000-244.0000 sec   716 KBytes  5.86 Mbits/sec
[  1] 244.0000-245.0000 sec   861 KBytes  7.05 Mbits/sec
[  1] 245.0000-246.0000 sec   720 KBytes  5.90 Mbits/sec
[  1] 246.0000-247.0000 sec   629 KBytes  5.15 Mbits/sec
[  1] 247.0000-248.0000 sec   567 KBytes  4.65 Mbits/sec
[  1] 248.0000-249.0000 sec   604 KBytes  4.95 Mbits/sec
