------------------------------------------------------------
Server listening on UDP port 23831
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 23831 connected with 10.0.0.13 port 33737
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.0000-1.0000 sec   116 KBytes   953 Kbits/sec   0.013 ms 0/81 (0%)
[  1] 1.0000-2.0000 sec   100 KBytes   823 Kbits/sec   0.304 ms 9/79 (11%)
[  1] 2.0000-3.0000 sec   112 KBytes   917 Kbits/sec   0.020 ms 0/78 (0%)
[  1] 3.0000-4.0000 sec   112 KBytes   917 Kbits/sec   0.008 ms 0/78 (0%)
[  1] 4.0000-5.0000 sec   113 KBytes   929 Kbits/sec   0.004 ms 0/79 (0%)
[  1] 5.0000-6.0000 sec   112 KBytes   917 Kbits/sec   0.010 ms 0/78 (0%)
[  1] 6.0000-7.0000 sec   112 KBytes   917 Kbits/sec   0.010 ms 0/78 (0%)
[  1] 7.0000-8.0000 sec   113 KBytes   929 Kbits/sec   0.008 ms 0/79 (0%)
[  1] 8.0000-9.0000 sec   112 KBytes   917 Kbits/sec   0.007 ms 0/78 (0%)
[  1] 9.0000-10.0000 sec   113 KBytes   929 Kbits/sec   0.007 ms 0/79 (0%)
[  1] 10.0000-11.0000 sec   112 KBytes   917 Kbits/sec   0.008 ms 0/78 (0%)
[  1] 11.0000-12.0000 sec   112 KBytes   917 Kbits/sec   0.007 ms 0/78 (0%)
[  1] 12.0000-13.0000 sec   113 KBytes   929 Kbits/sec   0.005 ms 0/79 (0%)
[  1] 13.0000-14.0000 sec   112 KBytes   917 Kbits/sec   0.004 ms 0/78 (0%)
[  1] 14.0000-15.0000 sec   112 KBytes   917 Kbits/sec   0.007 ms 0/78 (0%)
[  1] 15.0000-16.0000 sec   113 KBytes   929 Kbits/sec   0.010 ms 0/79 (0%)
[  1] 16.0000-17.0000 sec   112 KBytes   917 Kbits/sec   0.012 ms 0/78 (0%)
[  1] 17.0000-18.0000 sec   112 KBytes   917 Kbits/sec   0.007 ms 0/78 (0%)
[  1] 18.0000-19.0000 sec   113 KBytes   929 Kbits/sec   0.010 ms 0/79 (0%)
[  1] 19.0000-20.0000 sec   112 KBytes   917 Kbits/sec   0.010 ms 0/78 (0%)
[  1] 20.0000-21.0000 sec   113 KBytes   929 Kbits/sec   0.008 ms 0/79 (0%)
[  1] 21.0000-22.0000 sec   112 KBytes   917 Kbits/sec   0.012 ms 0/78 (0%)
[  1] 22.0000-23.0000 sec   112 KBytes   917 Kbits/sec   0.008 ms 0/78 (0%)
[  1] 23.0000-24.0000 sec   113 KBytes   929 Kbits/sec   0.008 ms 0/79 (0%)
[  1] 24.0000-25.0000 sec   112 KBytes   917 Kbits/sec   0.009 ms 0/78 (0%)
[  1] 25.0000-26.0000 sec   112 KBytes   917 Kbits/sec   0.014 ms 0/78 (0%)
[  1] 26.0000-27.0000 sec   113 KBytes   929 Kbits/sec   0.016 ms 0/79 (0%)
[  1] 27.0000-28.0000 sec   112 KBytes   917 Kbits/sec   0.014 ms 0/78 (0%)
[  1] 28.0000-29.0000 sec   113 KBytes   929 Kbits/sec   0.010 ms 0/79 (0%)
[  1] 29.0000-30.0000 sec   112 KBytes   917 Kbits/sec   0.009 ms 0/78 (0%)
[  1] 30.0000-31.0000 sec   112 KBytes   917 Kbits/sec   0.027 ms 0/78 (0%)
[  1] 31.0000-32.0000 sec   113 KBytes   929 Kbits/sec   0.013 ms 0/79 (0%)
[  1] 32.0000-33.0000 sec   112 KBytes   917 Kbits/sec   0.016 ms 0/78 (0%)
[  1] 33.0000-34.0000 sec   112 KBytes   917 Kbits/sec   0.015 ms 0/78 (0%)
[  1] 34.0000-35.0000 sec   113 KBytes   929 Kbits/sec   0.010 ms 0/79 (0%)
[  1] 35.0000-36.0000 sec   112 KBytes   917 Kbits/sec   0.019 ms 0/78 (0%)
[  1] 36.0000-37.0000 sec   112 KBytes   917 Kbits/sec   0.012 ms 0/78 (0%)
[  1] 37.0000-38.0000 sec   113 KBytes   929 Kbits/sec   0.009 ms 0/79 (0%)
[  1] 38.0000-39.0000 sec   112 KBytes   917 Kbits/sec   0.017 ms 0/78 (0%)
[  1] 39.0000-40.0000 sec   113 KBytes   929 Kbits/sec   0.009 ms 0/79 (0%)
[  1] 40.0000-41.0000 sec   112 KBytes   917 Kbits/sec   0.011 ms 0/78 (0%)
[  1] 41.0000-42.0000 sec   112 KBytes   917 Kbits/sec   0.025 ms 0/78 (0%)
[  1] 42.0000-43.0000 sec   113 KBytes   929 Kbits/sec   0.013 ms 0/79 (0%)
[  1] 43.0000-44.0000 sec   112 KBytes   917 Kbits/sec   0.010 ms 0/78 (0%)
[  1] 44.0000-45.0000 sec   112 KBytes   917 Kbits/sec   0.017 ms 0/78 (0%)
[  1] 45.0000-46.0000 sec   113 KBytes   929 Kbits/sec   0.009 ms 0/79 (0%)
[  1] 46.0000-47.0000 sec   112 KBytes   917 Kbits/sec   0.021 ms 0/78 (0%)
[  1] 47.0000-48.0000 sec   112 KBytes   917 Kbits/sec   0.023 ms 0/78 (0%)
[  1] 48.0000-49.0000 sec   113 KBytes   929 Kbits/sec   0.013 ms 0/79 (0%)
[  1] 49.0000-50.0000 sec   112 KBytes   917 Kbits/sec   0.025 ms 0/78 (0%)
[  1] 50.0000-51.0000 sec   113 KBytes   929 Kbits/sec   0.016 ms 0/79 (0%)
[  1] 51.0000-52.0000 sec   112 KBytes   917 Kbits/sec   0.019 ms 0/78 (0%)
[  1] 52.0000-53.0000 sec   112 KBytes   917 Kbits/sec   0.010 ms 0/78 (0%)
[  1] 53.0000-54.0000 sec   113 KBytes   929 Kbits/sec   0.008 ms 0/79 (0%)
[  1] 54.0000-55.0000 sec   112 KBytes   917 Kbits/sec   0.012 ms 0/78 (0%)
[  1] 55.0000-56.0000 sec   112 KBytes   917 Kbits/sec   0.011 ms 0/78 (0%)
[  1] 56.0000-57.0000 sec  91.9 KBytes   753 Kbits/sec   0.600 ms 14/78 (18%)
[  1] 57.0000-58.0000 sec   100 KBytes   823 Kbits/sec   0.441 ms 9/79 (11%)
[  1] 58.0000-59.0000 sec   108 KBytes   882 Kbits/sec   0.378 ms 4/79 (5.1%)
[  1] 59.0000-60.0000 sec   106 KBytes   870 Kbits/sec   0.639 ms 4/78 (5.1%)
[  1] 60.0000-61.0000 sec   108 KBytes   882 Kbits/sec   0.503 ms 3/78 (3.8%)
[  1] 61.0000-62.0000 sec   105 KBytes   858 Kbits/sec   0.546 ms 5/78 (6.4%)
[  1] 62.0000-63.0000 sec   113 KBytes   929 Kbits/sec   0.545 ms 0/79 (0%)
[  1] 63.0000-64.0000 sec   105 KBytes   858 Kbits/sec   0.414 ms 5/78 (6.4%)
[  1] 64.0000-65.0000 sec  99.1 KBytes   811 Kbits/sec   0.365 ms 9/78 (12%)
[  1] 65.0000-66.0000 sec   102 KBytes   835 Kbits/sec   0.418 ms 8/79 (10%)
[  1] 66.0000-67.0000 sec   106 KBytes   870 Kbits/sec   0.508 ms 4/78 (5.1%)
[  1] 67.0000-68.0000 sec   105 KBytes   858 Kbits/sec   0.507 ms 6/79 (7.6%)
[  1] 68.0000-69.0000 sec   105 KBytes   858 Kbits/sec   0.428 ms 5/78 (6.4%)
[  1] 69.0000-70.0000 sec   102 KBytes   835 Kbits/sec   0.363 ms 8/79 (10%)
[  1] 70.0000-71.0000 sec   100 KBytes   823 Kbits/sec   0.463 ms 8/78 (10%)
[  1] 71.0000-72.0000 sec   105 KBytes   858 Kbits/sec   0.482 ms 5/78 (6.4%)
[  1] 72.0000-73.0000 sec   103 KBytes   847 Kbits/sec   0.638 ms 6/78 (7.7%)
[  1] 73.0000-74.0000 sec   105 KBytes   858 Kbits/sec   0.440 ms 6/79 (7.6%)
[  1] 74.0000-75.0000 sec   109 KBytes   894 Kbits/sec   0.469 ms 2/78 (2.6%)
[  1] 75.0000-76.0000 sec   102 KBytes   835 Kbits/sec   0.409 ms 6/77 (7.8%)
[  1] 76.0000-77.0000 sec   102 KBytes   835 Kbits/sec   0.534 ms 9/80 (11%)
[  1] 77.0000-78.0000 sec   105 KBytes   858 Kbits/sec   0.628 ms 5/78 (6.4%)
[  1] 78.0000-79.0000 sec  96.2 KBytes   788 Kbits/sec   0.412 ms 12/79 (15%)
[  1] 79.0000-80.0000 sec   108 KBytes   882 Kbits/sec   0.586 ms 3/78 (3.8%)
[  1] 80.0000-81.0000 sec  97.6 KBytes   800 Kbits/sec   0.593 ms 10/78 (13%)
[  1] 81.0000-82.0000 sec   106 KBytes   870 Kbits/sec   0.631 ms 5/79 (6.3%)
[  1] 82.0000-83.0000 sec   103 KBytes   847 Kbits/sec   0.410 ms 5/77 (6.5%)
[  1] 83.0000-84.0000 sec   100 KBytes   823 Kbits/sec   0.439 ms 9/79 (11%)
[  1] 84.0000-85.0000 sec   105 KBytes   858 Kbits/sec   0.382 ms 6/79 (7.6%)
[  1] 85.0000-86.0000 sec   105 KBytes   858 Kbits/sec   0.480 ms 5/78 (6.4%)
[  1] 86.0000-87.0000 sec  68.9 KBytes   564 Kbits/sec   0.567 ms 3/51 (5.9%)
[  1] 87.0000-88.0000 sec  0.000 Bytes  0.000 bits/sec   0.567 ms 0/0 (-nan%)
[  1] 88.0000-89.0000 sec  53.1 KBytes   435 Kbits/sec   0.459 ms 148/185 (80%)
