------------------------------------------------------------
Server listening on TCP port 58364
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.7 port 58364 connected with 10.0.0.4 port 34194
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  6.17 MBytes  51.8 Mbits/sec
[  1] 1.0000-2.0000 sec  7.18 MBytes  60.2 Mbits/sec
[  1] 2.0000-3.0000 sec  6.35 MBytes  53.3 Mbits/sec
[  1] 3.0000-4.0000 sec  6.61 MBytes  55.4 Mbits/sec
[  1] 4.0000-5.0000 sec  7.55 MBytes  63.3 Mbits/sec
[  1] 5.0000-6.0000 sec  5.78 MBytes  48.5 Mbits/sec
[  1] 6.0000-7.0000 sec  6.53 MBytes  54.8 Mbits/sec
[  1] 7.0000-8.0000 sec  7.52 MBytes  63.1 Mbits/sec
[  1] 8.0000-9.0000 sec  6.02 MBytes  50.5 Mbits/sec
[  1] 9.0000-10.0000 sec  7.64 MBytes  64.1 Mbits/sec
[  1] 10.0000-11.0000 sec  6.58 MBytes  55.2 Mbits/sec
[  1] 11.0000-12.0000 sec  5.66 MBytes  47.5 Mbits/sec
[  1] 12.0000-13.0000 sec  2.64 MBytes  22.2 Mbits/sec
[  1] 13.0000-14.0000 sec  5.99 MBytes  50.2 Mbits/sec
[  1] 14.0000-15.0000 sec  3.35 MBytes  28.1 Mbits/sec
[  1] 15.0000-16.0000 sec  2.41 MBytes  20.2 Mbits/sec
[  1] 16.0000-17.0000 sec  7.34 MBytes  61.5 Mbits/sec
[  1] 17.0000-18.0000 sec  7.65 MBytes  64.2 Mbits/sec
[  1] 18.0000-19.0000 sec  7.38 MBytes  61.9 Mbits/sec
[  1] 19.0000-20.0000 sec  7.45 MBytes  62.5 Mbits/sec
[  1] 20.0000-21.0000 sec  7.66 MBytes  64.3 Mbits/sec
[  1] 21.0000-22.0000 sec  7.52 MBytes  63.1 Mbits/sec
[  1] 22.0000-23.0000 sec  7.43 MBytes  62.3 Mbits/sec
[  1] 23.0000-24.0000 sec  7.67 MBytes  64.3 Mbits/sec
[  1] 24.0000-25.0000 sec  7.53 MBytes  63.2 Mbits/sec
[  1] 25.0000-26.0000 sec  7.54 MBytes  63.3 Mbits/sec
[  1] 26.0000-27.0000 sec  7.66 MBytes  64.3 Mbits/sec
[  1] 27.0000-28.0000 sec  7.67 MBytes  64.3 Mbits/sec
[  1] 28.0000-29.0000 sec  7.64 MBytes  64.1 Mbits/sec
[  1] 29.0000-30.0000 sec  7.44 MBytes  62.4 Mbits/sec
[  1] 30.0000-31.0000 sec  7.33 MBytes  61.5 Mbits/sec
[  1] 31.0000-32.0000 sec  7.66 MBytes  64.2 Mbits/sec
[  1] 32.0000-33.0000 sec  7.53 MBytes  63.1 Mbits/sec
