------------------------------------------------------------
Server listening on TCP port 50793
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.8 port 50793 connected with 10.0.0.6 port 52460
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  3.75 MBytes  31.4 Mbits/sec
[  1] 1.0000-2.0000 sec  3.88 MBytes  32.6 Mbits/sec
[  1] 2.0000-3.0000 sec  4.36 MBytes  36.6 Mbits/sec
[  1] 3.0000-4.0000 sec  3.27 MBytes  27.4 Mbits/sec
[  1] 4.0000-5.0000 sec  4.11 MBytes  34.5 Mbits/sec
[  1] 5.0000-6.0000 sec  4.24 MBytes  35.6 Mbits/sec
[  1] 6.0000-7.0000 sec  3.97 MBytes  33.3 Mbits/sec
[  1] 7.0000-8.0000 sec  4.35 MBytes  36.5 Mbits/sec
[  1] 8.0000-9.0000 sec  3.85 MBytes  32.3 Mbits/sec
[  1] 9.0000-10.0000 sec  3.35 MBytes  28.1 Mbits/sec
[  1] 10.0000-11.0000 sec  3.97 MBytes  33.3 Mbits/sec
[  1] 11.0000-12.0000 sec  3.64 MBytes  30.5 Mbits/sec
[  1] 12.0000-13.0000 sec  4.29 MBytes  36.0 Mbits/sec
[  1] 13.0000-14.0000 sec  3.94 MBytes  33.1 Mbits/sec
[  1] 14.0000-15.0000 sec  3.82 MBytes  32.0 Mbits/sec
[  1] 15.0000-16.0000 sec  3.59 MBytes  30.1 Mbits/sec
[  1] 16.0000-17.0000 sec  4.44 MBytes  37.3 Mbits/sec
[  1] 17.0000-18.0000 sec  3.71 MBytes  31.1 Mbits/sec
[  1] 18.0000-19.0000 sec  3.22 MBytes  27.0 Mbits/sec
[  1] 19.0000-20.0000 sec  4.46 MBytes  37.5 Mbits/sec
[  1] 20.0000-21.0000 sec  3.08 MBytes  25.9 Mbits/sec
[  1] 21.0000-22.0000 sec  4.25 MBytes  35.7 Mbits/sec
[  1] 22.0000-23.0000 sec  4.49 MBytes  37.6 Mbits/sec
[  1] 23.0000-24.0000 sec  3.04 MBytes  25.5 Mbits/sec
[  1] 24.0000-25.0000 sec  3.99 MBytes  33.5 Mbits/sec
[  1] 25.0000-26.0000 sec  4.17 MBytes  35.0 Mbits/sec
[  1] 26.0000-27.0000 sec  4.32 MBytes  36.2 Mbits/sec
[  1] 27.0000-28.0000 sec  4.28 MBytes  35.9 Mbits/sec
[  1] 28.0000-29.0000 sec  3.65 MBytes  30.7 Mbits/sec
[  1] 29.0000-30.0000 sec  3.09 MBytes  25.9 Mbits/sec
[  1] 30.0000-31.0000 sec  3.67 MBytes  30.8 Mbits/sec
[  1] 31.0000-32.0000 sec  4.07 MBytes  34.2 Mbits/sec
[  1] 32.0000-33.0000 sec  3.68 MBytes  30.9 Mbits/sec
[  1] 33.0000-34.0000 sec  3.89 MBytes  32.6 Mbits/sec
[  1] 34.0000-35.0000 sec  3.91 MBytes  32.8 Mbits/sec
[  1] 35.0000-36.0000 sec  3.89 MBytes  32.6 Mbits/sec
[  1] 36.0000-37.0000 sec  3.07 MBytes  25.7 Mbits/sec
[  1] 37.0000-38.0000 sec  4.48 MBytes  37.6 Mbits/sec
[  1] 38.0000-39.0000 sec  2.84 MBytes  23.8 Mbits/sec
[  1] 39.0000-40.0000 sec  3.97 MBytes  33.3 Mbits/sec
[  1] 40.0000-41.0000 sec  3.50 MBytes  29.4 Mbits/sec
[  1] 41.0000-42.0000 sec  4.02 MBytes  33.7 Mbits/sec
[  1] 42.0000-43.0000 sec  3.44 MBytes  28.8 Mbits/sec
[  1] 43.0000-44.0000 sec  3.58 MBytes  30.0 Mbits/sec
[  1] 44.0000-45.0000 sec  3.37 MBytes  28.2 Mbits/sec
[  1] 45.0000-46.0000 sec  3.99 MBytes  33.4 Mbits/sec
[  1] 46.0000-47.0000 sec  4.08 MBytes  34.2 Mbits/sec
[  1] 47.0000-48.0000 sec  3.02 MBytes  25.3 Mbits/sec
[  1] 48.0000-49.0000 sec  4.10 MBytes  34.4 Mbits/sec
[  1] 49.0000-50.0000 sec  2.98 MBytes  25.0 Mbits/sec
[  1] 50.0000-51.0000 sec  4.04 MBytes  33.9 Mbits/sec
[  1] 51.0000-52.0000 sec  4.30 MBytes  36.1 Mbits/sec
[  1] 52.0000-53.0000 sec  3.43 MBytes  28.8 Mbits/sec
[  1] 53.0000-54.0000 sec  3.42 MBytes  28.7 Mbits/sec
[  1] 54.0000-55.0000 sec  3.95 MBytes  33.1 Mbits/sec
[  1] 55.0000-56.0000 sec  3.16 MBytes  26.5 Mbits/sec
[  1] 56.0000-57.0000 sec  3.36 MBytes  28.1 Mbits/sec
[  1] 57.0000-58.0000 sec  4.20 MBytes  35.3 Mbits/sec
[  1] 58.0000-59.0000 sec  4.20 MBytes  35.2 Mbits/sec
[  1] 59.0000-60.0000 sec  3.93 MBytes  33.0 Mbits/sec
[  1] 60.0000-61.0000 sec  4.23 MBytes  35.5 Mbits/sec
[  1] 61.0000-62.0000 sec  4.16 MBytes  34.9 Mbits/sec
[  1] 62.0000-63.0000 sec  3.57 MBytes  29.9 Mbits/sec
[  1] 63.0000-64.0000 sec  4.30 MBytes  36.1 Mbits/sec
[  1] 64.0000-65.0000 sec  3.60 MBytes  30.2 Mbits/sec
[  1] 65.0000-66.0000 sec  3.49 MBytes  29.3 Mbits/sec
[  1] 66.0000-67.0000 sec  3.77 MBytes  31.6 Mbits/sec
[  1] 67.0000-68.0000 sec  4.08 MBytes  34.2 Mbits/sec
[  1] 68.0000-69.0000 sec  3.80 MBytes  31.9 Mbits/sec
[  1] 69.0000-70.0000 sec  3.59 MBytes  30.1 Mbits/sec
[  1] 70.0000-71.0000 sec  3.05 MBytes  25.6 Mbits/sec
[  1] 71.0000-72.0000 sec  2.81 MBytes  23.6 Mbits/sec
[  1] 72.0000-73.0000 sec  3.69 MBytes  30.9 Mbits/sec
[  1] 73.0000-74.0000 sec  4.41 MBytes  37.0 Mbits/sec
[  1] 74.0000-75.0000 sec  3.69 MBytes  31.0 Mbits/sec
[  1] 75.0000-76.0000 sec  3.51 MBytes  29.5 Mbits/sec
[  1] 76.0000-77.0000 sec  3.93 MBytes  33.0 Mbits/sec
[  1] 77.0000-78.0000 sec  4.17 MBytes  35.0 Mbits/sec
[  1] 78.0000-79.0000 sec  4.02 MBytes  33.7 Mbits/sec
[  1] 79.0000-80.0000 sec  3.87 MBytes  32.4 Mbits/sec
[  1] 80.0000-81.0000 sec  3.05 MBytes  25.6 Mbits/sec
[  1] 81.0000-82.0000 sec  3.99 MBytes  33.5 Mbits/sec
[  1] 82.0000-83.0000 sec  3.05 MBytes  25.6 Mbits/sec
[  1] 83.0000-84.0000 sec  2.75 MBytes  23.1 Mbits/sec
[  1] 84.0000-85.0000 sec  4.46 MBytes  37.4 Mbits/sec
[  1] 85.0000-86.0000 sec  3.81 MBytes  32.0 Mbits/sec
[  1] 86.0000-87.0000 sec  3.63 MBytes  30.5 Mbits/sec
[  1] 0.0000-87.0925 sec   329 MBytes  31.7 Mbits/sec
