Sno,id,delay,jitter,bandwidth
16,0,0.15991015733142536,0.05204788500066469,0.1058973123696126
1,0,0.1523356345917017,0.09108379723637047,0.09565270753285177
2,0,0.17346512952242796,0.13662568903497854,0.11367333772763588
19,0,0.16397557914088154,0.039035911896392196,0.10141826479617244
5,0,0.0015084854608771643,0.136625689795268,0.09565270753285177
22,0,0.07249288994967139,0.14963766255576677,0.10947912624789621
23,0,0.009254183855735796,0.05855386532397316,0.10141826479617244
8,0,0.0024178561287818375,0.1561436489428231,0.1058973123696126
10,0,0.0017224550297959109,0.09758977755965373,0.11367333772763588
14,0,0.0013908021979718535,0.03903591223570577,0.10947912624789621
16,1,9.871598616261726E-5,0.25541749490828547,0.11296742642148724
1,1,0.10926591432569077,0.051527236127717646,0.09795835636846494
2,1,0.10124073417747619,0.029444135583053994,0.10356398477295506
19,1,1.012256586548762E-4,0.19156311208245452,0.10849693776890636
5,1,0.08765966008049768,0.03189781392916943,0.09795835636846494
22,1,0.11050055742541608,0.03925884896751576,0.10345187220486525
23,1,0.11914305912349331,0.007361033895760966,0.10849693776890636
8,1,0.12037770222321864,0.024536778890816773,0.11296742642148724
10,1,0.10124073417747619,0.022083100544707662,0.10356398477295506
14,1,0.17346735551140738,0.04416620108907275,0.10345187220486525
16,2,6.112269539859775E-8,0.26595507440535726,0.10158825413593064
1,2,0.10773684600421392,0.01770135797558812,0.10885101570423658
2,2,0.11516697331484936,0.0093713062508348,0.10291423550109853
19,2,6.26766275757214E-8,0.19946629632987725,0.10291423550109853
5,2,0.13498064614321054,0.006247537823811772,0.10885101570423658
22,2,0.11145190965953165,0.0057269095909136866,0.11047835647057898
23,2,0.12755051883257512,0.004685653125422506,0.10291423550109853
8,2,0.1374573552467557,0.008330050754997617,0.10158825413593064
10,2,0.08296975496876245,0.003644397144667567,0.10291423550109853
14,2,0.11640532786662194,0.0036443971447023644,0.11047835647057898
16,3,4.1595501515250666E-11,0.26594448002843835,0.10091901759630348
