"Name","State","Notes","User","Tags","Created","Runtime","Sweep","drp","ds","epochs","lr","mdl","name","num_classes","rnnh","rnnl","seq","wandb","train/cos_sim","train/loss","train/mae","val/cos_sim","val/loss","val/mae","train/lr"
"gru_d_star_10000_1_5_u_5_v22","running","-","manoj312","","2022-12-19T15:32:51.000Z","26904","","0.5","d_star_10000_1_5_u.csv","250","0.001","gru","gru_d_star_10000_1_5_u_5_v22","1","1024","1","5","sdn","4575740.5","0.07791154831647873","","4640719.5","0.08513499796390533","","0.00001"
"gru_d_star_10000_1_5_u_5_v20","crashed","-","manoj312","","2022-12-18T01:50:22.000Z","27305","","0.5","d_star_10000_1_5_u.csv","250","0.001","gru","gru_d_star_10000_1_5_u_5_v20","1","1024","1","5","sdn","4108583.5","0.38901540637016296","","4461262","0.34063032269477844","",""
